"","Latitude","Longitude","Location"
"20992",41.78082323,-87.653318937,"(41.78082323, -87.653318937)"
"113999",41.741124557,-87.609797367,"(41.741124557, -87.609797367)"
"115485",41.756129962,-87.604083694,"(41.756129962, -87.604083694)"
"120536",41.861720639,-87.736048391,"(41.861720639, -87.736048391)"
"121032",41.861720639,-87.736048391,"(41.861720639, -87.736048391)"
"261254",41.891768093,-87.755483944,"(41.891768093, -87.755483944)"
"274434",41.841571637,-87.720818596,"(41.841571637, -87.720818596)"
"274481",41.690091209,-87.61329487,"(41.690091209, -87.61329487)"
"274489",41.766103626,-87.64929197,"(41.766103626, -87.64929197)"
"276674",41.774369057,-87.597278237,"(41.774369057, -87.597278237)"
"276675",41.735782636,-87.62097712,"(41.735782636, -87.62097712)"
"276676",41.77598207,-87.653744026,"(41.77598207, -87.653744026)"
"276929",41.880995627,-87.771819255,"(41.880995627, -87.771819255)"
"276931",41.748331657,-87.621307469,"(41.748331657, -87.621307469)"
"279750",41.679859817,-87.622026174,"(41.679859817, -87.622026174)"
"285183",41.742424658,-87.546637154,"(41.742424658, -87.546637154)"
"285191",41.735143667,-87.545784415,"(41.735143667, -87.545784415)"
"285602",41.829951756,-87.665553441,"(41.829951756, -87.665553441)"
"285666",41.807527265,-87.673448705,"(41.807527265, -87.673448705)"
"285669",41.891717214,-87.748146223,"(41.891717214, -87.748146223)"
"285996",41.768612192,-87.621776071,"(41.768612192, -87.621776071)"
"286344",41.653605591,-87.609423772,"(41.653605591, -87.609423772)"
"286682",41.874574905,-87.754845736,"(41.874574905, -87.754845736)"
"287084",41.899514976,-87.726208426,"(41.899514976, -87.726208426)"
"287179",41.774125258,-87.609441256,"(41.774125258, -87.609441256)"
"287180",41.745746893,-87.608202751,"(41.745746893, -87.608202751)"
"287505",41.882004418,-87.728897024,"(41.882004418, -87.728897024)"
"287880",41.967090006,-87.732185987,"(41.967090006, -87.732185987)"
"287882",41.895627701,-87.767852831,"(41.895627701, -87.767852831)"
"287924",41.957974271,-87.748224279,"(41.957974271, -87.748224279)"
"288761",41.721110998,-87.650729069,"(41.721110998, -87.650729069)"
"288762",41.832802038,-87.716917256,"(41.832802038, -87.716917256)"
"288764",41.832802038,-87.716917256,"(41.832802038, -87.716917256)"
"289061",41.898514194,-87.700447092,"(41.898514194, -87.700447092)"
"289381",41.759107606,-87.641823327,"(41.759107606, -87.641823327)"
"289599",41.797672173,-87.731864881,"(41.797672173, -87.731864881)"
"289606",41.874689829,-87.745055715,"(41.874689829, -87.745055715)"
"289801",42.011301687,-87.693586328,"(42.011301687, -87.693586328)"
"291520",41.669984891,-87.638041775,"(41.669984891, -87.638041775)"
"291524",41.796172736,-87.585432838,"(41.796172736, -87.585432838)"
"292024",41.8763156,-87.669271624,"(41.8763156, -87.669271624)"
"292025",41.744135109,-87.654783514,"(41.744135109, -87.654783514)"
"292026",41.80392916,-87.664844437,"(41.80392916, -87.664844437)"
"292385",41.886755667,-87.765095923,"(41.886755667, -87.765095923)"
"292386",41.902184391,-87.761895561,"(41.902184391, -87.761895561)"
"292439",42.00864107,-87.690860739,"(42.00864107, -87.690860739)"
"292848",41.863311568,-87.727523894,"(41.863311568, -87.727523894)"
"293178",41.877931554,-87.729342994,"(41.877931554, -87.729342994)"
"293557",41.890865773,-87.706409952,"(41.890865773, -87.706409952)"
"293558",41.867575044,-87.719564481,"(41.867575044, -87.719564481)"
"293615",41.857250966,-87.658856658,"(41.857250966, -87.658856658)"
"293616",41.857250966,-87.658856658,"(41.857250966, -87.658856658)"
"293970",41.811502954,-87.66383031,"(41.811502954, -87.66383031)"
"294401",41.82649745,-87.622683779,"(41.82649745, -87.622683779)"
"294403",41.89036442,-87.628021535,"(41.89036442, -87.628021535)"
"294486",41.772749857,-87.571587422,"(41.772749857, -87.571587422)"
"295107",41.799424067,-87.673564853,"(41.799424067, -87.673564853)"
"296436",41.880487595,-87.745964635,"(41.880487595, -87.745964635)"
"296754",41.875261016,-87.726147954,"(41.875261016, -87.726147954)"
"296759",41.875261016,-87.726147954,"(41.875261016, -87.726147954)"
"297818",41.72659283,-87.606223844,"(41.72659283, -87.606223844)"
"298654",41.901658074,-87.732440134,"(41.901658074, -87.732440134)"
"299026",41.882117181,-87.773895253,"(41.882117181, -87.773895253)"
"299458",41.769222543,-87.573938576,"(41.769222543, -87.573938576)"
"299844",41.794864463,-87.671899025,"(41.794864463, -87.671899025)"
"299846",41.736708219,-87.558339802,"(41.736708219, -87.558339802)"
"300208",41.893015515,-87.753610572,"(41.893015515, -87.753610572)"
"300215",41.85799986,-87.710302774,"(41.85799986, -87.710302774)"
"321066",41.797034023,-87.670743508,"(41.797034023, -87.670743508)"
"321427",41.871112501,-87.690492122,"(41.871112501, -87.690492122)"
"321434",41.93934905,-87.70557876,"(41.93934905, -87.70557876)"
"321755",41.880632459,-87.733639652,"(41.880632459, -87.733639652)"
"322097",41.753421993,-87.650177933,"(41.753421993, -87.650177933)"
"322104",41.923869468,-87.707193016,"(41.923869468, -87.707193016)"
"322610",41.88359542,-87.747838421,"(41.88359542, -87.747838421)"
"323614",41.893187629,-87.744291004,"(41.893187629, -87.744291004)"
"323615",41.919529667,-87.77001549,"(41.919529667, -87.77001549)"
"323794",41.86999515,-87.711342835,"(41.86999515, -87.711342835)"
"323795",41.877680349,-87.728019783,"(41.877680349, -87.728019783)"
"323796",41.972260915,-87.648546802,"(41.972260915, -87.648546802)"
"323797",41.755532941,-87.618251918,"(41.755532941, -87.618251918)"
"323903",41.74531835,-87.603799307,"(41.74531835, -87.603799307)"
"324145",41.812505323,-87.604434996,"(41.812505323, -87.604434996)"
"324146",41.877364077,-87.701900603,"(41.877364077, -87.701900603)"
"324147",41.877364077,-87.701900603,"(41.877364077, -87.701900603)"
"324392",NA,NA,""
"324393",41.753497803,-87.651390199,"(41.753497803, -87.651390199)"
"324394",41.895470043,-87.715418807,"(41.895470043, -87.715418807)"
"324402",41.746729695,-87.602625355,"(41.746729695, -87.602625355)"
"324639",41.759822703,-87.60175479,"(41.759822703, -87.60175479)"
"324643",41.910165043,-87.770310914,"(41.910165043, -87.770310914)"
"324749",41.769793473,-87.648164031,"(41.769793473, -87.648164031)"
"324960",41.665150556,-87.635974738,"(41.665150556, -87.635974738)"
"324982",41.789518444,-87.693680468,"(41.789518444, -87.693680468)"
"324983",41.789518444,-87.693680468,"(41.789518444, -87.693680468)"
"324984",41.789518444,-87.693680468,"(41.789518444, -87.693680468)"
"324985",41.789518444,-87.693680468,"(41.789518444, -87.693680468)"
"324986",41.789518444,-87.693680468,"(41.789518444, -87.693680468)"
"325234",41.795445677,-87.62086324,"(41.795445677, -87.62086324)"
"325499",41.867805152,-87.657420359,"(41.867805152, -87.657420359)"
"325500",41.895441064,-87.767847132,"(41.895441064, -87.767847132)"
"325501",41.872910954,-87.757937613,"(41.872910954, -87.757937613)"
"325502",41.776150283,-87.615522623,"(41.776150283, -87.615522623)"
"325733",41.845931371,-87.701402348,"(41.845931371, -87.701402348)"
"325734",41.881768482,-87.749059579,"(41.881768482, -87.749059579)"
"325735",41.880966677,-87.758754007,"(41.880966677, -87.758754007)"
"325736",41.860017984,-87.727433841,"(41.860017984, -87.727433841)"
"326671",41.692160782,-87.659042671,"(41.692160782, -87.659042671)"
"326672",41.959984181,-87.728326087,"(41.959984181, -87.728326087)"
"326674",41.804941518,-87.662442511,"(41.804941518, -87.662442511)"
"326675",41.89882127,-87.665982433,"(41.89882127, -87.665982433)"
"326963",41.905362833,-87.7272257,"(41.905362833, -87.7272257)"
