"","Latitude","Longitude","Location"
"294834",41.864137869,-87.705602815,"(41.864137869, -87.705602815)"
"425126",41.847032912,-87.73438296,"(41.847032912, -87.73438296)"
"435622",41.850228119,-87.623738843,"(41.850228119, -87.623738843)"
"514115",41.768866386,-87.642744939,"(41.768866386, -87.642744939)"
"583546",41.786669148,-87.670795242,"(41.786669148, -87.670795242)"
"626823",41.899050162,-87.722906967,"(41.899050162, -87.722906967)"
"963307",41.900585086,-87.686964123,"(41.900585086, -87.686964123)"
"1041047",41.851668507,-87.714298959,"(41.851668507, -87.714298959)"
"2669530",41.916849262,-87.752531481,"(41.916849262, -87.752531481)"
"2683817",41.826333228,-87.684915757,"(41.826333228, -87.684915757)"
"3161913",41.898663187,-87.747127791,"(41.898663187, -87.747127791)"
"3261869",41.875132303,-87.670605724,"(41.875132303, -87.670605724)"
"3397902",41.7968963,-87.684112371,"(41.7968963, -87.684112371)"
"3735385",41.90896722,-87.687184491,"(41.90896722, -87.687184491)"
"3796881",41.81327948,-87.69435751,"(41.81327948, -87.69435751)"
"3833376",41.88693095,-87.63018934,"(41.88693095, -87.63018934)"
"3898727",41.928418844,-87.687767302,"(41.928418844, -87.687767302)"
"4003790",41.711877568,-87.683602473,"(41.711877568, -87.683602473)"
"4101154",41.764656108,-87.650461977,"(41.764656108, -87.650461977)"
"4219461",41.787402391,-87.659559966,"(41.787402391, -87.659559966)"
"4227733",41.830282091,-87.684890583,"(41.830282091, -87.684890583)"
"4310289",41.777198547,-87.664157893,"(41.777198547, -87.664157893)"
"4571977",41.849223127,-87.641635424,"(41.849223127, -87.641635424)"
"4968940",41.880423235,-87.751109858,"(41.880423235, -87.751109858)"
"5002528",41.893162746,-87.635979167,"(41.893162746, -87.635979167)"
"5102647",41.791874028,-87.656029442,"(41.791874028, -87.656029442)"
"5184079",41.93844065,-87.77687286,"(41.93844065, -87.77687286)"
"5211523",41.822664514,-87.700732319,"(41.822664514, -87.700732319)"
"6004700",41.801575891,-87.646002751,"(41.801575891, -87.646002751)"
"6279435",41.824602821,-87.621622402,"(41.824602821, -87.621622402)"
"6322860",41.936776176,-87.746804611,"(41.936776176, -87.746804611)"
"6338396",41.823997468,-87.694643524,"(41.823997468, -87.694643524)"
"6376465",41.722347855,-87.584505639,"(41.722347855, -87.584505639)"
"6387265",41.924087397,-87.757753616,"(41.924087397, -87.757753616)"
"6389576",41.997400551,-87.708702095,"(41.997400551, -87.708702095)"
"6416946",41.765162688,-87.624896894,"(41.765162688, -87.624896894)"
"6431646",41.946823083,-87.681718565,"(41.946823083, -87.681718565)"
"6480725",41.735752519,-87.625429032,"(41.735752519, -87.625429032)"
"6542538",41.944279991,-87.766698991,"(41.944279991, -87.766698991)"
"6573732",41.9862963,-87.655281972,"(41.9862963, -87.655281972)"
"6760570",41.818315006,-87.625507325,"(41.818315006, -87.625507325)"
