"","Latitude","Longitude","Location"
"121",41.849229282,-87.700279804,"(41.849229282, -87.700279804)"
"124",41.830890037,-87.635503335,"(41.830890037, -87.635503335)"
"946",41.764728045,-87.561272312,"(41.764728045, -87.561272312)"
"994",41.933887857,-87.708057934,"(41.933887857, -87.708057934)"
"999",41.757916179,-87.579793119,"(41.757916179, -87.579793119)"
"1020",41.960823612,-87.738774759,"(41.960823612, -87.738774759)"
"1094",41.934584479,-87.714567291,"(41.934584479, -87.714567291)"
"1313",41.95819547,-87.706930634,"(41.95819547, -87.706930634)"
"1527",41.811838512,-87.684526408,"(41.811838512, -87.684526408)"
"1690",41.719309558,-87.595910598,"(41.719309558, -87.595910598)"
"2291",41.908437216,-87.692505703,"(41.908437216, -87.692505703)"
"2580",41.918048013,-87.732701593,"(41.918048013, -87.732701593)"
"2744",41.933433923,-87.641362086,"(41.933433923, -87.641362086)"
"2764",41.953812125,-87.747310181,"(41.953812125, -87.747310181)"
"2801",41.877111742,-87.723765716,"(41.877111742, -87.723765716)"
"2949",41.894367122,-87.659828936,"(41.894367122, -87.659828936)"
"3236",41.812023326,-87.687616836,"(41.812023326, -87.687616836)"
"3961",41.998371899,-87.699671967,"(41.998371899, -87.699671967)"
"3996",41.998468171,-87.697231907,"(41.998468171, -87.697231907)"
"4148",41.961937294,-87.721450396,"(41.961937294, -87.721450396)"
"5131",41.877104077,-87.724390016,"(41.877104077, -87.724390016)"
"5159",41.900900206,-87.756977457,"(41.900900206, -87.756977457)"
"5277",41.99715443,-87.658433505,"(41.99715443, -87.658433505)"
"5464",NA,NA,""
"5551",41.962847443,-87.72127623,"(41.962847443, -87.72127623)"
"5562",41.84751108,-87.720978487,"(41.84751108, -87.720978487)"
"5739",41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
"5795",41.764900898,-87.576943938,"(41.764900898, -87.576943938)"
"5842",41.959751308,-87.721666173,"(41.959751308, -87.721666173)"
"5899",41.954619485,-87.704370135,"(41.954619485, -87.704370135)"
"6000",41.815057082,-87.702674389,"(41.815057082, -87.702674389)"
"6029",NA,NA,""
"6340",41.79284254,-87.779974875,"(41.79284254, -87.779974875)"
"6481",NA,NA,""
"6672",41.871660063,-87.656825335,"(41.871660063, -87.656825335)"
"6791",42.014349542,-87.678818164,"(42.014349542, -87.678818164)"
"6792",41.931354447,-87.760014586,"(41.931354447, -87.760014586)"
"7297",42.000826399,-87.658008405,"(42.000826399, -87.658008405)"
"7407",41.84558589,-87.731082337,"(41.84558589, -87.731082337)"
"7592",NA,NA,""
"8046",41.760262362,-87.67584643,"(41.760262362, -87.67584643)"
"8427",41.743526354,-87.603804936,"(41.743526354, -87.603804936)"
"8473",41.796019254,-87.60122593,"(41.796019254, -87.60122593)"
"8727",41.931030751,-87.783607428,"(41.931030751, -87.783607428)"
"8810",41.683723026,-87.672456457,"(41.683723026, -87.672456457)"
"9362",41.748014832,-87.650030047,"(41.748014832, -87.650030047)"
"9577",41.99157427,-87.655431953,"(41.99157427, -87.655431953)"
"9733",41.862864086,-87.714113888,"(41.862864086, -87.714113888)"
"9991",41.872707718,-87.712080245,"(41.872707718, -87.712080245)"
"10108",41.866744918,-87.628501494,"(41.866744918, -87.628501494)"
