"","x"
"1","2018-02"
"2","2016-05"
"3","2016-05"
"4","2018-02"
"5","2018-02"
"6","2018-02"
"7","2018-02"
"8","2018-02"
"9","2018-02"
"10","2018-02"
"11","2018-02"
"12","2018-02"
"13","2018-02"
"14","2018-02"
"15","2018-02"
"16","2018-03"
"17","2017-11"
"18","2018-03"
"19","2017-06"
"20","2018-01"
"21","2018-03"
"22","2018-03"
"23","2018-03"
"24","2018-03"
"25","2016-07"
"26","2017-06"
"27","2018-03"
"28","2018-03"
"29","2018-03"
"30","2017-10"
"31","2018-03"
"32","2018-03"
"33","2018-03"
"34","2018-03"
"35","2016-05"
"36","2016-05"
"37","2016-05"
"38","2018-03"
"39","2018-03"
"40","2018-03"
"41","2018-03"
"42","2018-03"
"43","2018-03"
"44","2018-03"
"45","2018-03"
"46","2007-09"
"47","2017-04"
"48","2018-03"
"49","2018-03"
"50","2018-03"
"51","2017-10"
"52","2017-10"
"53","2018-03"
"54","2018-03"
"55","2018-03"
"56","2008-09"
"57","2018-03"
"58","2016-11"
"59","2018-03"
"60","2018-03"
"61","2018-04"
"62","2018-04"
"63","2018-04"
"64","2018-04"
"65","2018-04"
"66","2018-04"
"67","2018-04"
"68","2018-04"
"69","2018-04"
"70","2018-04"
"71","2018-04"
"72","2018-04"
"73","2018-04"
"74","2018-04"
"75","2018-04"
"76","2016-04"
"77","2016-04"
"78","2016-05"
"79","2016-05"
"80","2016-05"
"81","2016-05"
"82","2016-05"
"83","2016-05"
"84","2016-05"
"85","2016-05"
"86","2016-05"
"87","2016-05"
"88","2018-02"
"89","2016-05"
"90","2016-04"
"91","2016-05"
"92","2016-05"
"93","2016-02"
"94","2016-02"
"95","2016-02"
"96","2016-02"
"97","2016-02"
"98","2016-05"
"99","2016-05"
"100","2016-05"
"101","2016-05"
"102","2016-05"
"103","2016-05"
"104","2016-05"
"105","2016-05"
"106","2016-05"
"107","2016-05"
"108","2016-05"
"109","2016-05"
"110","2016-05"
"111","2016-05"
"112","2016-05"
"113","2016-05"
"114","2016-05"
