RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
91940,77449,Texas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103700,106600,105e3,105300,104500,105900,106600,108e3,110900,112600,112100,110900,113100,115200,118400,116700,117700,119700,122100,123500,121400,119600,120800,122600,123700,121700,121600,125100,127600,129e3,128400,129600,132700,135300,136900,133100,133100,133200,136100,138800,139700,139400,134300,135900,136300,137100,136600,138700,141200,139900,
74101,37013,Tennessee,2,105600,109100,111400,109e3,102600,104e3,106800,108900,105100,101800,97700,92800,94100,99600,104400,100900,96700,93300,94600,96600,97600,96300,88900,89e3,89e3,95200,96200,96300,88300,82800,79400,82200,82100,78800,76100,75300,76100,74400,75800,76600,79e3,77300,76400,72900,74e3,74900,77700,78500,77400,77100,78500,78300,76800,74e3,71400,71800,69100,73700,76900,76500,78900,78800,85200,84100,88e3,85800,86500,82700,83700,82400,89100,91600,95500,92900,95800,97300,98800,99400,103100,104200,107400,107400,111400,113600,115800,112300,109900,109800,113600,115700,116900,119100,121200,120200,117700,116100,116600,124300,127200,131400,128400,133500,133700,138900,136600,141400,14e4,140900,138900,140900,140900,143400,143600,146400,146e3,146900,147500,151800,155600,159500,163800,166100,169900,167400,164700,164800,162e3,166900,164e3,168400,
71831,32162,Florida,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169700,17e4,170200,171800,174100,176e3,176100,177100,177300,179e3,179e3,179300,178800,179500,179500,180700,180700,179800,179200,179600,180700,179100,178900,178600,180200,179800,179800,181900,182200,182600,181200,181900,183e3,182200,183200,183300,184600,182900,182600,182200,183500,183800,184700,185700,184e3,182700,183700,186200,189200,190800,192900,192900,193200,192900,197200,2e5,202e3,
96107,90250,California,4,411200,381800,343800,335100,361800,365900,350600,336300,333700,331700,308600,298300,289600,296200,286900,283200,275500,277900,256400,254100,233400,259600,258100,272200,274e3,277800,282100,270500,264600,271200,276100,284400,277300,267500,265600,277200,283300,279500,254e3,245200,224600,225700,238500,249e3,257800,250100,251100,239300,232100,233100,236e3,220900,216700,224100,254200,262400,250400,237900,250500,276700,283800,280600,282600,287e3,29e4,287800,301100,317400,332500,310100,304900,298600,326900,327700,335800,334500,331e3,342e3,333900,339500,329900,335900,327900,327100,334800,353300,355900,350200,353200,353600,356800,370400,373200,382900,366200,367100,373300,378400,371400,369300,370200,375300,386300,373200,368100,303200,321300,338500,388700,384200,390800,410400,392900,401500,400100,425900,396300,403800,395100,431700,429700,454300,455500,466900,472e3,470200,452600,458700,464600,483700,460800
74242,37211,Tennessee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84400,90900,86500,88100,91500,95200,95600,88300,95300,95500,101200,98600,102700,102800,105800,103700,107100,110800,108300,112200,103700,112900,112100,121600,120400,122400,123900,126100,126400,123100,123800,124800,127700,131500,137700,141400,139e3,137200,129400,133600,133200,148600,150100,147500,138e3,139700,152100,162e3,164600,158500,148800,142100,138100,
69816,28269,North Carolina,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74800,77100,79300,80600,82600,84600,91500,86800,85800,80800,82700,82600,85600,84500,84500,91100,95100,94900,88200,89700,92100,96200,98800,98400,95600,98300,96400,96400,91400,96600,98e3,98100,92900,94500,94400,98900,99900,104600,108700,120500,123900,126500,125100,124900,122700,120700,123200,128600,131700,137900,141100,
92551,78613,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169400,170500,172100,172900,174500,176800,175600,181700,183700,192400,189300,188900,185200,186400,186700,188800,189e3,194800,195700,196200,193300,193700,196400,198200,200500,203400,205400,207500,209400,211300,204500,203800,200400,204500,204700,214900,218200,221400,215700,216800,212700,216100,216900,
97771,94565,California,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269300,279100,286e3,293200,288800,287100,282700,283600,272800,279700,275700,284800,276200,290600,291300,301400,301100,306900,307400,311e3,317900,321e3,318200,316500,319e3,324e3,327200,332e3,339500,351600,357400,356400,350800,344400,353e3,36e4,374500,369600,362700,355200,371800,380600,383300,382100,389100,400100,406300,404e3,410700,413500,426700,421100,418200,417400,430500,435300,426800,422200,422400,424900,431200,
90654,75052,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101200,99400,96100,89700,89900,93100,107900,114100,115400,106300,103e3,103300,108900,111600,113600,113400,118100,118900,121300,116400,118600,12e4,123e3,120600,12e4,123800,131600,135600,135100,133800,141700,144200,144500,137e3,136600,130400,131900,135100,142300,142500,145100,151e3,161700,161500,160100,153500,146500,146600,141400,149400,,,
74126,37042,Tennessee,10,87500,85300,84e3,81300,78700,79400,76900,78300,78600,80600,80200,76400,77700,78300,77600,73800,74200,78100,79500,82e3,82600,83600,82800,83500,84500,85300,83700,79600,76400,73300,74100,76300,76800,77100,72400,69700,7e4,74800,78400,79200,72800,72100,71200,76800,79200,78e3,72800,74400,75800,78100,73e3,70800,69800,72700,73300,78100,78e3,74e3,69900,67800,72500,76600,76400,73300,7e4,71500,75100,75800,75200,73200,73200,70800,70900,68400,69e3,70600,71e3,70900,69200,69100,74700,77100,78e3,77400,74200,72500,69900,72100,75900,73900,69200,68800,70800,74400,74400,75100,75800,75500,74900,75600,75200,76200,76e3,76500,74400,75500,73300,76100,78200,84900,80800,80300,79100,85400,83900,85300,87e3,92200,88900,85400,85800,89800,91700,91800,89700,92600,91300,95900,95100,98300,
91922,77429,Texas,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128200,129200,130600,132900,132400,133100,132200,132300,133300,131500,138e3,133700,136800,131e3,132300,133800,134100,131200,129600,134900,140300,129100,126200,121e3,132e3,129900,132700,134300,133e3,138700,
70829,30044,Georgia,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59700,60200,60300,60100,61e3,60900,63200,63600,63200,61700,62700,64300,65200,65900,67300,69400,7e4,70800,70900,71400,71700,72900,74700,78600,78600,8e4,76500,76900,78100,81600,86800,87300,87800,87e3,9e4,91600,93300,92500,93700,95200,96900,95400,94400,94800,99400,100400,98e3,94600,95500,97800,99600,99300,99300,99500,101400,105700,108900,106400,107600,108200,114500,110900,115300,116100,121100,121200,122100,122200,120100,123200,123800,129500,128800,132300,131200,133600,133700,133e3,134300,137e3,14e4,139600,141400,143200,144500,147400,,
70828,30043,Georgia,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94200,104300,105e3,107200,107300,105200,104400,103200,104700,105500,107e3,111e3,112600,112800,11e4,109900,118200,123100,127700,119400,119200,119600,123200,123400,120500,12e4,119300,119700,121e3,123300,130700,135300,137400,137800,141600,139300,140300,139900,147400,148500,,
84630,60629,Illinois,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67900,69500,70500,64900,65300,65200,60100,59400,57600,6e4,58800,64100,66200,66e3,68200,64900,65400,60200,63900,65e3,69200,70700,70400,71100,70300,76600,77400,76300,72600,76400,75800,78700,79700,83600,84900,83600,84e3,82700,81e3,85200,88300,89300,86800,85600,85300,82700,81300,87300,88200,88500,84e3,87e3,94100,101600,106100,104300,96600,92e3,92500,91400,94900,94e3,102900,106300,102100,100500,98100,102600,109200,116200,113800,106e3,104700,111200,117100,108600,102300,106700,102300,111300,107200,115700,116400
92341,78245,Texas,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98700,96800,99300,92500,96500,96200,97200,96200,97400,102e3,103100,103700,101500,101300,100600,103100,106700,105100,106900,105900,107600,105200,106900,103100,113300,116200,121400,116100,111600,114600,113600,118400,122400,128e3,132800,129800,131900,129100,132500,128300,126200,127400,125500,128200,
67732,23464,Virginia,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130400,128800,129e3,123600,130400,134900,143500,142900,137700,135100,138e3,143900,145e3,142e3,136100,137200,137100,136600,132700,132200,131e3,133700,135800,138600,14e4,140200,142200,144600,146700,146800,147700,146200,147300,148600,147700,150900,15e4,152600,149800,145900,149500,149600,155500,
70874,30096,Georgia,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110400,99300,98500,101900,102900,106100,107700,111400,110700,109500,107700,105500,106200,103100,108300,109100,118500,116700,115500,115100,119500,119700,118800,119700,124900,127600,128800,13e4,132500,134900,133400,134200,131400,135300,140500,
61148,08701,New Jersey,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130300,119100,120700,123900,121800,131100,129300,138400,137900,147200,138400,143500,152900,158700,148900,146300,147400,147500,142500,140700,136300,137600,14e4,145700,150200,154500,153700,144900,154900,162300,168900,160400,172100,175900,188200,187800,187700,17e4,176400,196300,202500,184300,169400,157700,165300,148900,147300,167900,163200,176500,149600,147100,134600,128500,133200,143600,138900,156300,157300,163500,145200,135300,136800,158900,161500,168600,152900,
92598,78666,Texas,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157400,160200,160400,164800,167e3,165400,165300,169700,175300,170800,170700,168900,173200,176700,178600,178600,177300,183900,175600,176800,163600,175300,174700,184100,185600,181900,175600,172400,182e3,173100,186300,
