RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
84654,60657,Illinois,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208200,207800,207600,205800,200400,196900,197700,198700,203600,208800,212100,210100,212700,213900,217400,220600,229600,233800,233200,228100,222500,221700,223e3,224900,223900,226800,227800,225300,223500,222400,228200,230900,239400,235600,231200,230500,233300,240600,236500,244400,245700,248300,243200,245800,247400,249900,247500,246400,241e3,234e3,232300,234500,243200,249300,254800
91982,77494,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170600,168800,165500,164500,167300,172500,176e3,172600,176400,176200,178e3,179300,180600,181500,181700,181100,181e3,178200,18e4,182200,184900,187e3,181400,183100,187800,193400,193500,188200,188700,185600,188400,188600,194100,196e3,201500,204200,204400,199800,198200,200200,204e3,206300,207800,212700,214800,214e3,212700,213200,219100,222100,225800,226800,230200,232100,231200,228600,229100,230500,230700,228800,228100,236500,238800,240600,233200,233500,232500,232e3,231400,230500,234e3,236500,239900,239100,239100,238600,241500,24e4,241200,236e3,242800,239600,
93144,79936,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114700,115300,118500,120100,118400,117700,116e3,119300,116900,116500,114e3,112600,112500,112300,114300,116700,116400,115400,112900,113500,114700,116700,119e3,117400,118800,116600,116500,116100,116700,119700,113300,113600,112600,118e3,117900,117700,116700,116900,117e3,117500,116200,115600,115800,116200,117200,116600,115500,114900,116700,117500,118700,116e3,116800,114e3,114700,118400,116900,115300,111300,114e3,114900,114500,113600,115e3,116800,118e3,118400,119500,120200,122300,120600,121300,118100,120100,120700,123200,121900,122e3,122300,124400,125400,123900,123900,121900,124200,126200,129e3,129200,127200,123800,123800,
91940,77449,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151900,154500,158400,161600,162800,163200,163800,164100,164100,166900,167700,168100,169800,170200,170900,172400,173400,175200,178300,179e3,180400,176500,176300,176600,177200,179500,179200,180500,181e3,179700,181500,183200,187700,186500,186400,186e3,186900,185900,184200,187600,189600,191e3,190400,191600,193900,194600,196100,196e3,196400,197e3,
61630,10016,New York,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418700,427500,419200,410900,416500,422500,442600,433400,434e3,424900,431600,435200,433800,437300,441500,444700,442800,439500,449300,461e3,466600,456900,445e3,437800,441300,441600,445900,446400,449200,449700,451200,477400,504200,502e3,481100,464200,465500,443900,434100,458800
74101,37013,Tennessee,6,158300,156600,158200,156400,156600,157700,154900,154900,152700,159400,160200,160100,154500,155e3,153700,152400,148900,153200,149600,147900,140500,143e3,141900,147e3,150600,152500,148400,144700,140500,141300,139700,143200,140400,137600,138800,142500,150400,145900,148800,143400,142500,138600,135500,136100,130900,133600,135800,141400,141100,139200,135200,137100,137200,141600,143100,144e3,139500,141900,146200,148400,145800,142e3,140900,143100,144400,148100,145700,148100,148100,150200,150800,152300,153e3,154300,156600,155300,155200,152900,155200,152700,155200,154800,158500,159700,162300,164100,165100,166800,168800,172200,172900,172400,172400,175600,178300,181600,180700,181600,181400,184800,187300,189500,192100,193900,197800,199900,199600,199600,201900,207700,211e3,214100,216e3,217700,219800,223600,222100,222600,223700,232900,238900,240700,240900,242900,244500,247700,243100,243200,241300,240600,
71831,32162,Florida,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217900,217500,219800,225e3,227800,228e3,226800,230200,233300,236700,235300,235300,238800,240200,236800,231500,227300,233100,235100,240500,243e3,247100,245200,243500,242400,246e3,245700,242100,240900,241500,246e3,242700,24e4,239300,241300,240300,236800,235200,238600,242100,244900,241200,240500,238e3,238300,236800,238200,243100,247600,250100,248400,250400,249300,249300,246700,25e4,255e3,
96107,90250,California,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372300,369400,382800,387700,394300,385100,412200,416600,447800,429300,434600,422600,425800,454e3,460300,467200,461900,505700,529900,520800,483700,501700,502400,502900,482800,509300,526e3,529e3,510800,525600,526500,534600,523800,520600,537600,539200,546100,532800,531100,524200,540200,541600,551700,546800,532400,569600,574100,602200,571500,578700,577100,589300,583700,590200,590500,597500,602200,613100,647500,655e3,645300,608300,635100,638e3,648e3,620200,622900,639600,646300,661500,680300,687e3,681100,662500,680200,703800,701900,689400,690600,692900,708900
74242,37211,Tennessee,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179500,181700,181400,181700,18e4,180200,178800,183500,186700,190800,193400,196e3,196600,197e3,197e3,2e5,202600,208900,211700,212900,211200,206400,207900,206200,214500,214700,224600,224800,228e3,224e3,22e4,223900,229900,241800,241900,241200,239900,244200,246800,246400,247700,247500,246700,252400,255800,262300,258e3,258700,257700,264100,27e4,268400,267300,
84620,60618,Illinois,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202800,208900,204200,212500,214200,215400,211900,209900,214100,213500,219100,224400,226800,224400,229600,226500,227500,221700,232400,229600,234900,231100,229300,221200,227400,234e3,241800,236300,230900,231600,231300,241400,241e3,242300,236e3,232400,229300,226900,222500,213700,220900,229700,238700,230200,240300,253300,256300,247500,246300,247700,249600,241600,252200,246300,244100
