RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196800,1132700,1193200,1099100,1089500,1031400,996600,1029800,1002700,1105900,1095300,1098e3,1110600,1185300,1294800,1308100,1271100,1174900,1043600,1042200,1003700,974900,956100,967400,1136100,1149900,1108700,1095100,1143300,1226500,1190300,1109500,1023700,1029600
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461300,463700,469400,459e3,482800,474200,466900,455800,457400,458200,438800,439e3,436200,448400,445100,451700,47e4,468700,469100,439600,452100,458400,473900,467e3,457200,456700,466500,465400,462e3,456300,486400,471200,473900,463500,492400,494600,480700,468700,463e3,473200,469100,482600,482800,492100,480200,487e3,495400,512300,508200,512900,509100,523800,516900,516200,515900
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298900,306800,299800,291200,281e3,283600,287600,298400,297500,297e3,281900,273700,275100,294300,303500,303e3,295800,299400,303100,299600,299700,301700,303200,302300,299600,310300,312900,314400,307800,309900,310100,313200,315400,312500,318900,320800,331e3,330900,341500,339700,344900,339600,346400,353700,363100,361100,357400,350900,350700,347e3,350900,360500,365800,368100,365700,368e3,367900,370200,370400,375100,376600,378700,374e3,373100,376600,373300,371600,370900,372300,375600,375100,381600,384400,399e3,396700,396500,379600,375700,363200,364800,358900,383e3,
93144,79936,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209900,182800,181300,174900,180600,179900,178300,177600,179600,209400,208500,205300,183500,189300,192300,192700,181600,182200,195600,201500,193700,185300,182900,189900,19e4,195500,192100,201500,200300,201600,191200,185100,191700,194200,198900,193400,188700,189100,195500,196100,202900,196500,196200,185400,186700,
61616,10002,New York,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789400,793900,762500,774400,783300,848800,837400,860800,862600,881500,877300,853100,856100,940500,939400,935600,838e3,861700,874700,890600,1072700,1119500,1128e3,903100,887400,872600,902400,803400,781800,750700,878600,878200
61630,10016,New York,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963600,1184600,1219800,1190500,1025800,1039e3,1014400,951800,1028700,1112500,1145600,1059200,929900,907200,921200,861400,865300,876700,992600,1056400,1054900,1021e3,1009900,1017500,1034200,999700,1012800,987800,1012800,1030800,1015700,1015200,990100,1013800,1021300,1091200,1079e3,1052600,920300,887900
71831,32162,Florida,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321200,323e3,319200,309e3,315300,318800,320700,309700,312700,318700,322600,326800,329400,331500,327400,337100,336200,337300,328500,325500,332300,330400,336700,327700,347e3,351500,359100,336400,326e3,319600,323400,330500,329900,331300,331e3,332100,333600,334500,345500,356900,365200,355200,334600,331800,341300,360600,364e3,367100,371200,373600,372800,360800,359400,
74242,37211,Tennessee,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291900,278400,286200,286300,288200,283600,309500,313600,321500,305600,308100,312100,310900,312200,310100,316e3,317700,323500,316100,323800,330400,333900,329900,327500,326700,332300,334400,344300,349e3,350300,359500,356200,357200,352100,368900,370300,371300,364300,371100,371600,377500,367800,375400,382600,390100,389300,376600,386300,385400,384200,382700,377600,383200,
84620,60618,Illinois,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423200,445200,470200,471900,448200,467700,452500,473200,442400,451200,441900,458400,451700,450900,447700,459600,498900,493200,488900,450600,489600,491300,518400,472900,473300,447100,476100,473900,484100,474500,475400,473300,484900,489500,487800,474600,472600,470600,454400,450800,483e3,489300,516e3,497800,512100,487500,48e4,456500,464700,445300,468700,457500,467500,464600,462300
92036,77573,Texas,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267e3,269700,268900,258e3,265500,266300,267900,273e3,275400,277700,266700,266900,266200,268800,272e3,272600,272600,275600,277800,282100,281400,280400,284200,286500,291300,288800,286300,295500,297400,298700,302500,304e3,305800,300200,299800,304300,305500,309600,310800,312e3,313400,314700,314300,313500,33e4,330300,334e3,318200,317600,315600,323200,340500,343800,342700,321e3,321300,318900,332300,338e3,339300,344100,346e3,342600,341e3,340400,349700,345600,339400,
