RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908e3,934700,1010700,936100,914300,851500,853600,876e3,882900,835500,851200,863700,948700,1014400,1044300,1114100,1044e3,1009e3,929800,942400,930100,885600,904200,890700,104e4,1047900,1014500,948400,998500,1097900,1152300,1064900,956600,892300
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395200,395700,400700,41e4,413e3,386100,383800,379600,394200,389600,383300,382800,368e3,372900,364600,364800,319800,322200,309400,315300,311300,318100,326e3,321200,328600,337300,329200,315500,320800,317500,33e4,299400,314300,309100,317700,305900,307200,325800,336200,354e3,359500,361400,363300,368700,381100,339500,336800,339900,384400,418900,402600,410100,400500,426900,437300
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269100,274800,267600,263800,253400,252e3,253100,263600,262500,261100,253800,249400,251300,258500,265300,267e3,267900,274700,279200,277100,27e4,270600,274100,279900,278300,280400,279900,281500,278700,281400,285e3,292e3,290300,286300,290500,291900,304100,301600,314100,311900,312700,301800,292500,300200,302500,310800,302600,304200,304500,304700,305100,309e3,312600,314800,316200,314300,322900,328300,334800,336200,330300,328e3,315900,315100,318800,321500,320200,318600,321400,321600,331300,334100,341e3,347200,344900,343e3,329900,327700,316200,309700,306300,337600,
93144,79936,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111100,112900,113e3,118200,119800,123600,120200,125700,121900,122900,117400,123300,119200,118100,114e3,117800,119600,118600,118e3,117300,117500,12e4,124100,121400,121900,118600,117300,120500,120300,116600,104900,106800,112800,121300,119700,120700,118e3,119700,118700,119200,118300,117700,119900,115100,116200,114400,119100,119300,121200,121300,123400,121900,120700,117700,119900,123300,121500,116900,114400,119300,118900,118e3,118200,123400,127800,127800,125600,124100,125700,129400,129400,127e3,126800,128800,128500,126400,131600,133500,133200,127700,128500,127500,127400,127200,131100,131800,130600,129e3,130100,128200,128300,
91940,77449,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145900,148e3,146600,148700,149400,152800,151700,152500,154500,155700,152500,150500,155800,162100,163600,16e4,159600,165e3,171e3,172500,172200,168800,166700,165600,167800,168e3,168900,165e3,166500,164700,169100,170700,174700,175900,177200,177500,176e3,174100,171900,177700,18e4,182100,177900,178e3,178e3,179900,184e3,186700,190600,191e3,
61616,10002,New York,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451600,428600,405300,437600,449500,470300,454600,494900,520800,541900,529200,547100,536600,563700,535600,536e3,517400,563700,559100,563700,544200,548200,568800,582500,621300,592200,612400,671500,687900,662700,580400,599500,567800,626300,617e3,644e3,642900,672400,678600,672100,720500,789500,843500,832500,812800,771600,751200,740300,730100,750300,789600,794900,825300,757700,775200,717300,792800,766500,855500,846600,852700,808e3,810500,852400,850200,924300,964100,975900,868800,822400,805e3,859700,788300,780800,722300,846200,831e3
61630,10016,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679600,849500,871700,888100,762700,763400,765e3,743e3,837900,856500,86e4,717200,684900,706900,721400,694400,653300,724300,791500,859100,831e3,840300,804900,821600,826e3,816600,814100,787200,797900,797800,781300,761600,738500,774500,804e3,885100,873200,890700,786900,764200
74101,37013,Tennessee,8,132800,135100,133600,133400,132400,132300,131400,131400,127900,124400,121400,125200,131500,131800,128800,125800,128800,129300,127400,127500,124100,125800,120600,122600,122500,122100,122300,122e3,121800,118100,117400,113100,111500,110700,110600,113800,108800,105600,102400,103500,106200,103300,102800,100500,101700,106300,110500,113700,106700,104300,104e3,105200,104200,99e3,106200,112800,114800,107700,105500,109100,114300,120200,121800,125100,123800,120300,118e3,119500,125400,130500,132600,134e3,132900,132100,131600,130800,129100,129700,131e3,131900,133100,133600,135800,144600,148800,147600,142200,142e3,147600,148500,148700,147200,147900,148800,152300,152400,154600,154300,159100,162e3,163800,163e3,165900,168900,173100,173800,173e3,175100,174800,18e4,178500,179400,180400,185800,191700,195400,195800,196200,192600,195400,199300,207e3,214500,216300,221300,216300,218200,216900,215300,215200,
71831,32162,Florida,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182e3,186600,184100,187200,190600,195900,199400,206400,207300,210900,210100,212300,213900,218800,225800,227400,226500,23e4,231700,234200,233400,234e3,229900,230800,232500,237100,233500,234800,240200,245800,241800,235800,229600,231800,228400,233500,234100,240100,236e3,236500,236200,236900,237200,236e3,236e3,238e3,239300,239300,231800,226900,235200,240800,245400,236800,236700,238200,238300,237300,235200,235100,235300,233900,236200,242900,250600,255100,251600,257800,252800,254100,244800,249e3,252500,
96107,90250,California,10,507800,446500,387400,368300,416800,408900,400300,372200,383e3,390700,375400,353400,338600,319100,306200,304700,31e4,322e3,318600,311700,308800,331800,340300,344100,346600,350400,368900,342600,342800,331400,333300,333100,318700,327300,335e3,362e3,352900,358500,324400,307e3,291500,296100,312900,309400,322800,321800,318e3,289500,295700,299300,311400,298100,315600,318e3,332500,320800,358300,357500,374300,364600,386400,369300,358600,362700,382200,411800,415300,399400,398100,396400,457800,458600,459300,427200,430400,436800,452600,480100,489900,483800,452900,476100,472900,490900,502900,508900,506e3,478800,482100,476800,478900,477800,496600,507700,525300,530200,529900,520300,499500,511500,522600,552300,545100,549600,554300,563600,610500,610100,618200,580700,582800,57e4,610100,604300,608900,564100,563200,559500,589200,615200,643e3,635400,629800,629900,657900,682700,682500,653500,641200,643900,712500
