"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",1,569950,577000,559000,554500,550000,549900,549900,569000,549999,569990,584250,577250,569450,572400,575000,571000,569000,549999,550000,644000,599900,629000,574950,536950,495900,511950,550000,549900,550000,559900,559900,549500,554950,569000,575000,575000,581375,629404,599450,599000,619000,599000,599000,602450,640000,662500,614900,659900,637500,625000,625000,650000,675000,677000,637000,569000,562450,567000,599450,564000,592000,629950,627000,649000,672500,677500,695000,695000,704750,695000,695000,695000,710000,719950,709900,725000,725000,710000,699000,699000,727000,749900,767500,794500,760000,749900,762500,760000,765000,765000,745000,749000,749000,750000,750000,749724,725000,739000,699900,699900,699000,695000,675000,695000,669000,649900,650000,659000,649000
"10023","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995000,3800000,3750000,3250000,3772500,3322500,3622500,3500000,3695000,3675000,3675000,3295000,3595000,3472500,3995000,3995000,3995000,3944000,3944000,3900000,3922000,4195000,4383000,4167500,4317500,4167500,4140000,3830000,3875000,3915000,4065000,3990000,4095000,4170000,4200000,4275000,4240000,4329000,4140000,4125000,4050000,4020000,3995000,4230000,4815000,4945000,4900000,4835000,4835000,4835000,4625000,4550000,4550000,4170000,4490000,4495000,4492500,4890000
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",3,206001,210000,209900,206900,199994.5,195000,195000,189750,189500,184995,184995,184995,184990,185990,185990,186364,188431,189000,189000,185000,188490,189000,189000,189000,188925,192990,193000,195000,194242,195125,199900,199950,207500,209000,216990,219900,217990,226497.5,229250,234990,238490,250000,245990,249000,253990,271990,267990,264490,266990,267742.5,269791.5,276990,284445,271703,280000,295495,315900,304490,319594,306990,314970,299000,299900,299909,299250,287939.5,292990,308745,308990,302705,305018,309990,312065,284445,280190,279743,274900,276990,275200,275000,279945,279990,280990,285000,291950,285000,282990,285000,279995,269949.5,267717.5,275000,275000,274473,269995,269995,269990,269695,275000,270000,270000,265000,266999,269000,268850,275000,280000,280990,282990
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049000,949500,929500,949500,905000,925000,925000,949450,950000,998500,975000,950000,937500,899000,949700,949250,871950,864450,812500,799900,869000,875000,887500,899000,899900,899500,895000,835000,825000,849000,825000,844000,842000,848500,850000,850000,849900,849900
"79936","El Paso","TX","El Paso","El Paso County",5,125900,125000,125000,125000,127225,126950,129500,129900,128500,129500,129500,129500,127500,124950,125000,126500,129500,134925,132900,129900,129900,129900,128900,128680,129430,128000,129990,129180,127250,130000,129900,126475,123300,119925,119900,119900,119000,122725,120200,125000,124950,124800,125000,124960,124925,125000,125000,124900,124975,124900,128000,129000,125000,128500,128000,125450,125000,124500,124000,122500,123000,123750,123750,124000,124975,125000,124975,129500,129000,125000,128900,124950,124900,124900,124900,119950,122900,122900,123000,125000,126360,128900,125000,129835,128450,128947.5,130000,130000,129925,129950,128725,129900,130500,130000,128000,130000,131750,130750,129900,130000,129000,135000,130000,129900,129900,130000,129900,129900,130000
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",6,110000,111779,112000,111900,112000,111000,114000,110995,112995,112000,113990,112000,110000,108000,107000,106000,107500,109777,109625,107990,107992.5,106900,105000,104900,105000,108945,110000,108937,109000,112500,117000,117945,117990,119900,123250,120000,119990,124900,124945,132900,132700,132000,134070,129970,135000,141000,143000,148000,150950,149992.5,149550,149990,148992.5,145000,145000,148000,153995,155000,155000,164000,168000,169990,165000,159925,156000,155000,159950,160000,160000,165000,165000,169495,170000,169900,169900,170000,170070,169945,169000,167000,166900,169250,169992.5,167000,163000,167000,169925,170725,175000,174900,170725,174900,173000,175000,179500,179900,179990,179900,179900,179925,179900,180000,185000,188992.5,185000,184999.5,184490,180000,183000
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",7,110000,110000,112000,114872,114900,112000,112000,110900,110450,110000,110900,107000,104950,104250,99950,104000,104499,103000,104900,102475,99900,99900,99000,99900,99900,1e+05,1e+05,99950,102000,103641,104900,104000,103000,104975,105950,109450,109500,114500,115500,116950,120000,124700,122900,121000,120950,124700,124999,125000,125000,129900,129900,130000,129900,134500,131650,130000,130650,137700,138000,142900,139900,139900,139900,139900,145450,145000,148800,149700,153500,154900,152500,155000,153990,153900,155925,160000,159900,159945,159926.5,159949.5,160000,163500,159997.5,160000,164990,165000,165000,167900,169000,167900,168000,169900,170000,160000,154990,157250,160000,165000,167900,172750,172500,174900,175000,176000,175000,172500,178250,175000,170745
"10002","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925000,3937500,3963500,3977000,3963500,3950000,4016000,3963500,3950000,3838000,3888000,3891500,3802000,3802000,3888000,3876000,3895000
"00926","San Juan","CO",,"Gunnison County",9,,,,,,,,,,,,,,,,,,,,184000,189000,179500,179000,180000,189000,190500,195000,180000,180000,179000,175000,178290,185000,179000,177000,177000,185000,189000,184500,175000,170000,185000,184000,178000,178000,170000,170000,169000,159500,167000,172500,156700,150000,154999,154999.5,162000,150000,150000,153950,156000,165000,169450,159000,157000,155000,155000,160000,151999.5,150000,153000,149499.5,150000,149999,163500,152450,148500,146500,145000,145000,145000,139000,142000,149500,149700,146500,145000,147000,149000,145000,135000,135000,120000,124900,123000,120000,120000,134600,139400,139900,142450,138900,145000,135000,134000,132000,135000,137500,135000,137000
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",10,144941,144900,143000,139900,139900,139500,138300,134997.5,134997.5,134900,135000,133900,129900,130000,129990,129900,129900,129900,129900,129900,129900,129900,124944,125900,125900,125000,125945,125000,125000,124500,120000,119954,119911,119900,119900,125000,125000,125000,129900,130000,135000,139000,139900,145000,144994,145900,144900,144900,145950,143282.5,143232.5,149900,152690,154900,153400,159900,159900,163350,164900,164946,161400,163000,175000,169900,167500,169000,178943.5,175950,182000,174500,175000,169900,175000,179900,179900,185900,194200,193000,189900,192235,193250,189950,198500,199900,197450,195000,204900,199900,209000,214900,219900,215000,215000,205000,211500,214700,214900,209950,205000,209901,210000,229950,230000,229900,230000,225950,229900,230000,230000
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",11,159950,164985,159900,161382.5,162700,161350,159842.5,154983.5,168522.5,174991,180445,170361.5,164252,163950,160200,161340,162950,159900,158695,159773,159950,159475,158990,158450,157100,158990,161545,163945,165650,164999,170695,174250.5,171995,172300,176995,178500,179995,187200,185950,185500,188700,190800,192800,194990,198104.5,199119,199119,202597.5,206505,211990,213495,213995,219000,219200,220440,218995,218900,214997.5,219200,220995,235900,239990,242990,243668,241755,247945,252990,249995,248495,249315.5,243940,242198,245000,238945,245572.5,248496.5,259600,258627.5,255704,259000,261990,261557,265381.5,263551,258990,261380,257990,254876.5,260490,265230.5,268417,261698,259700,252495,251990,251990,254490,252995,254990,256677.5,260200,263990,263992.5,263990,263745,259990,260947.5,261990,259409
"32162","The Villages","FL","The Villages","Sumter County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262900,309000,322450,294805.5,297450,279350,264000,249900,244000,252900,251325,252900,249900,249900,244500,249000,247000,247250,247200,252450,249000,239700,244700,246850,244000,249500,242000,249450,248900,239900,237400,239950,239450,239000,254450,249450,259000,274900,274900,274900,289500,264800,259900,264900,245000,240000,239950,240000,244950,244250,269000,266950,264900,259900
"60647","Chicago","IL","Chicago-Naperville-Elgin","Cook County",13,434662.5,439900,429500,439900,434950,425000,412500,416000,376950,387000,377000,377000,377000,394000,382000,374900,360000,319900,299950,3e+05,336950,319400,279900,319900,334900,329450,354900,390500,399000,397500,399800,375000,382450,369000,361950,362450,349900,394450,399900,429000,429000,449500,449950,449800,459000,459000,449900,419800,449900,469800,479000,475000,464850,469800,469900,474900,479800,479800,494800,469900,492300,459450,499350,499175,499350,499350,499925,499350,524950,524900,509900,512400,475000,499949.5,527450,559000,559900,559000,524900,565000,619000,649000,621950,589900,594000,615000,619000,6e+05,595000,599000,589000,539900,549500,549500,554500,549000,539000,549000,545300,550000,554500,569000,579900,575000,567450,569900,584950,582400,575000
"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",14,364900,379450,339500,349750,349000,359000,367000,375000,347500,350000,359500,359900,369900,372500,364000,352500,328750,345000,335000,339000,329000,319900,299900,309900,299900,308000,319500,308000,308000,322500,320000,325000,315000,3e+05,349900,349900,348950,340000,329900,345000,375000,4e+05,442000,429000,395000,364500,419000,434900,434900,412000,434500,429500,434500,449000,452950,449450,467000,429900,429700,422500,442000,449450,449450,450000,449900,450000,489000,495000,499000,489000,485000,485000,479000,491950,499945,505000,499900,549969,540000,544500,549000,565000,575500,559995,571792.5,584999.5,599000,612450,599999,584250,550000,549000,574999.5,575000,582450,569000,569000,579000,599999,632000,659950,652450,670000,654888,645000,629000,599250,622000,599000
"37211","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",15,179900,181900,179900,179450,178850,174950,169900,169900,169900,169900,164900,162000,161099,159900,164900,163450,163000,159999,159900,159900,159900,159000,158900,158599,149975,158024.5,159900,164900,169200,165000,165000,167000,169581,164941,166450,159900,163645,165000,169900,174500,175000,173950,178500,180000,169900,174900,169900,179900,176250,179975,189900,199900,206500,205000,199450,199450,207700,2e+05,201000,205450,210000,220000,242400,239900,228500,229250,224939.5,239250,254900,229450,234450,239900,242200,229900,224900,235000,249000,248450,249000,247500,249900,247875,247875,242500,259000,265450,263450,285000,289900,289000,285900,289995,277000,282000,279000,294900,289900,287000,3e+05,299000,290000,299900,309000,299900,299900,299400,289999,289900,289000
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374900,350000,329900,340000,312400,299000,299000,299000,319000,340000,349950,399900,399000,425000,399000,404500,410000,399450,419900,389950,399450,399900,435000,439000,450000,477000,439000,429450,439900,425900,419450,399900,428500,439900,439900,458400,450000,466500,467000,459000,469000,464900,465000,484750,480500,484500,499900,508800,499900,537000,549000,539000,526950,524900,525000,539000,549900,539000,529000,520000,527000,535000,550000,559497.5,534900,524950,514500,505000,529000,529000,549000,529000,529000,519900,524900,525000,519500,509900,5e+05,509950,532000
"10011","New York","NY","New York-Newark-Jersey City","New York County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6430000,6550000,6517500,6422500,6362500,6435000,6410000,6442500,6435000,6950000,6757500,6950000,6900000,6687500,6655000,6687500,6765000,6950000,6950000,7100000,7187500,7187500,7e+06,7137500,6750000,7237500,6e+06,5890000,5995000,5725000,5450000,5250000,5117495,4985000,5117495,4900000,4612500,4437495,4499000,4672495,4612500,4585000,4995000,4995000,4995000,5495000,5245000,5495000,4995000,4700000,4995000,4462500,4250000,3885000,4250000,4174500,4495000,4695000,4970000
"77573","League City","TX","Houston-The Woodlands-Sugar Land","Galveston County",18,188539.5,194649,189740,195137,188695,189000,174995,172979.5,177470,179990,184675,183990,189450,186495,184990,189450,184900,185990,189450,189450,187745,180000,178950,176990,177224.5,182400,179990,188502.5,186490,187752.5,189900,189900,193000,212701,202190,213990,216876,205990,213990,216712,229990,235990,239990,234714,234714,234990,234463,242990,236495,242240.5,248577,241108,235990,244990,243990,243990,248325,255861,252190,269990,249990,259990,271115,275461,275225.5,272240,275741,280990,278990,274990,274990,276557,274990,274990,269995,269490,270990,279990,271990,280990,286025,305840,303990,326988,291241,279990,284490,279990,284990,285116.5,283891,274014.5,280151,280995,288998.5,289589.5,283062,289279,278099,275000,290990,293990,295639,297990,301495,299900,298945,299970,299990
"10128","New York","NY","New York-Newark-Jersey City","New York County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3475000,3710000,3150000,3222500,3195000,3545000,3492500,3195000,3200000,3590000,3545000,3150000,3600000,3547500,3295000,3495000,3685000,3295000,3548000,3495000,3521500,3850000,3548000,3395000,3577500,3689500,3790000,3707000,3955000,3995000,3772500,3707500,3707500,3720000,3875000,3877500,3925000,3790000,3974412.5,3950000,3998825,3974412.5,3795000,3778000,3879000,3800000
"20002","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599499.5,587000,525000,525000,534900,557000,559000,575000,579900,599000,599900,599990,599745,569750,5e+05,564000,589000,499900,533499.5,599900,599900,549900,540000,563500,599900,599900,599900,624900,622500,654900,672450,629900,650000,673868,649000,649900,629000,629000,639000,625000,665000,699000,679499.5,689499.5,685000,699000,679950,669750,649700,692000,675000,689000,699450,744000,750000,749000,749000,749900,750000,750000,749900,734950,725000,699900
"78130","New Braunfels","TX","San Antonio-New Braunfels","Comal County",21,178796.5,171500,173200,195311.5,171032.5,169855,172000,173900,162000,163918,158950,154990,152939.5,154800,152900,156337.5,157500,158850,157800,157495,155847.5,155997.5,153950,159900,158997.5,157850,158200,159000,158700,159450,157450,159500,161700,166100,162145,164900,166457.5,171227,171370,172409,174150,173995,170948,170901,173190,173550,174900,176304.5,179999,187387,189453,185660,189199,190400,185990,199000,191155,193593,185350,193500,196078,205166,222990,226250,230995,233947.5,237992.5,239990,233990,240600,241400,242990,235947.5,243100,243019.5,234995,243100,235995,231100,231550,230050,235305,229695,214031.5,212945,212990,224900,236882.5,234512.5,229445,229000,232995,239000,229499,235200,228997,233450,225294.5,226000,224990,227699.5,229999,232499.5,230509,234499.5,235862.5,237535,239000,237567
