"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"79936","El Paso","TX","El Paso","El Paso County",1,88686,88950,89250,89250,86900,84450,85000,87950,89700,89500,88000,88250,89500,81675,86450,85945,86450,86000,86450,86000,86000,85495,85000,85945,85900,81450,82725,80000,87550,84950,84900,84900,84000,84450,86000,85000,84950,84750,85000,87000,88500,88193.5,89650,89250,89900,88950,89900,88800,86000,84450,83000,86999,86000,87625,87343.5,86800,88000,85000,79900,85000,88000,88000,85700,83950,84900,82313,83940,85000,84200,83000,82500,84000,87200,87000,86450,87450,85500,85500,85950,86900,88750,88000,88750,87250,89000,89000,89350,90822,89250,92070,94700,94500,90826,92600,88000,92300,92475,92950,88913.5,95000,95250,93075,95000,94900,95500,98000,96750,94950,95428
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",2,94900,94000,94900,94900,94000,94000,93900,92900,94500,92900,92500,89900,89000,86750,87500,88000,88000,88750,87900,89900,89000,85000,84900,84900,84900,85000,85000,84500,84900,83500,84900,84500,86000,86100,89000,89000,89900,89000,88000,89900,89900,90000,89945,92250,95000,97800,97850,99950,99900,95500,97800,99151,99900,105000,105000,104900,1e+05,95000,98250,105000,107960,112500,114947,112400,112500,114900,113500,117750,115000,118000,118000,120000,119700,117950,124900,124100,125000,125000,127500,125000,124500,125750,125000,120000,121250,124950,132000,139000,139400,139842,138975,137990,138950,139000,139900,143450,143900,139900,139950,141221.5,145000,145000,149000,149000,149995,149250,149950,150000,149999
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,89900,89900,93000,95000,95000,96820,95000,95750,94900,91950,91000,87900,87115,87000,87000,87200,89000,89900,89900,89900,89500,87500,85500,87900,87000,84900,82900,84500,84000,82000,80000,84200,82490,84572.5,85000,84950,84900,86700,88200,88500,88000,90000,91300,94900,95000,94900,99700,95000,99000,1e+05,104000,98000,103000,105000,105000,103250,104200,1e+05,103400,103400,103000,103995,99999.5,108500,116900,117500,114925,116900,116950,119900,119900,119900,119250,120000,125000,124450,125000,125000,129450,128500,127750,130000,130000,134500,134000,130000,130000,134500,135000,135700,135700,139600,139900,129900,115250,120000,125000,129950,135000,139700,145000,145000,145000,147900,145900,145000,149000,148900,147900
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133900,144950,145000,150000,148450,148400,169999,175000,155000,149450,155000,157500,160000,147000,160000
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,125000,125000,125500,127000,122900,119450,119000,117500,114870.5,109900,108000,109500,114950,107000,109000,1e+05,98000,98000,95000,93500,89000,84900,86950,85000,79900,79900,80590,79900,79900,84900,84900,83900,89900,89900,82500,89000,89000,91000,83750,91250,98900,89900,92050,89450,89000,98750,99900,99900,94950,97000,99000,99900,99900,104950,105000,104000,109900,108500,106500,105000,110000,109000,109450,109000,113900,109000,109000,109000,109900,109450,109900,110000,107450,114900,115000,110000,115000,115000,124950,124700,125000,125000,125000,125000,119000,125000,119900,119900,119900,125000,124900,128500,129000,129000,126900,126900,129500,126900,125000,131450,129500,129900,129900,129900,137450,129900,131843,129500,129500
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",6,99500,99700,101000,101000,99900,97900,97500,97000,97250,99500,95250,95500,90000,89900,90000,89990,89900,89900,89000,85250,85000,86750,80000,80950,79900,79900,77000,79997,83900,79900,81250,81250,79997,82650,79900,85000,80000,80500,79998.5,79900,81450,84900,84000,83900,84900,85500,84900,84900,89900,89900,90300,91250,93750,95000,104900,109000,105000,104900,98750,107000,109900,110000,109900,114500,118050,118500,115000,111900,117900,119900,114920.5,114900,119900,120000,125900,128244,124400,126400,134000,135000,135700,139996,141450,139900,135900,138450,142000,148400,150000,149900,149900,150000,154999.5,155000,160000,159900,159972,162000,160000,162950,164900,164950,166245,169400,172900,174950,172000,174900,174900
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",7,135500,135000,135945,137700,138400,137500,135000,134900,135000,135000,135000,134240,134900,134900,134900,134900,130000,134900,129999,129900,129900,128900,127745,127999,129900,132000,129900,128000,128000,129900,133900,134000,132795,131900,130000,132900,135000,136317.5,138249.5,139995,142700,143450,141250,140000,140750,142250,146000,148500,148850,149900,149900,153175,155000,153450,155000,156250,157000,164000,166250,161500,165000,165000,164900,167700,165000,165000,172250,175000,175000,180000,179993.5,181500,180000,180000,185000,185000,185000,190000,194900,198900,199499.5,199000,199000,199900,2e+05,2e+05,209945,209604,209000,210000,209450,207500,209900,206900,211850,210900,214990,218899,220990,220055,224000,225000,227000,228950,227990,229900,229650,230500,229900
"32162","The Villages","FL","The Villages","Sumter County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,179950,180500,179900,179995,184900,183900,184900,184500,184500,186500,184900,185000,184850,185000,186200,189000,189000,189700,189000,189000,185000,185900,187777,187500,184500,186250,186200,184900,184900,189900,189900,189900,195750,189900,194250,194250,199900,199900,199900,199950,207000,201500
"11375","New York","NY","New York-Newark-Jersey City","Queens County",9,234500,225000,219000,219000,219000,218000,215000,212000,210000,210000,209000,208888,209000,208944,208944,199888,205000,205000,205000,205000,205999.5,209000,205000,199000,199000,205000,205000,209000,208000,199400,199000,199250,199750,199000,199000,199000,199000,199000,199450,205000,199000,199000,201999.5,199000,199999,2e+05,199166.5,199999,209000,214000,208999,206500,210000,213888,210000,210000,215444,219000,217000,215888,219000,218000,222000,225000,225000,225000,228694,225000,225000,220000,225000,239000,239999,238000,236500,239000,239888,248000,248000,249000,249000,255000,255000,250000,250000,259000,259000,259000,259700,269000,269000,269000,269000,269000,269000,270000,270000,269000,275000,279000,285000,280000,280000,280000,280000,281500,284999,286000,289000
"11235","New York","NY","New York-Newark-Jersey City","Kings County",10,189900,199000,199000,199000,199000,199000,195000,199000,192999,189999.5,189000,189000,189000,189000,189000,185500,185000,185000,188000,189000,189000,185000,189000,189000,184500,187000,184000,184000,179999.5,179999,179000,179500,188000,185000,180000,185000,189000,189000,189000,186000,179999,179000,180000,182450,179900,188000,186000,185000,189000,189000,189000,191500,189000,189000,185000,189000,189000,185000,189000,189000,189000,189000,195000,197450,199000,199000,207900,205000,205000,209950,209900,214997.5,214997.5,209000,199000,199000,199000,209000,201500,219000,215000,209000,209500,208000,215000,215000,229000,249000,240000,240000,229000,239000,235000,240000,245000,249000,249900,249900,249900,250000,258000,258500,258944,259950,259000,259000,259000,259000,264000
