"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,740000,750000,799000,725000,740000,740000,699500,699000,699000,749000,7e+05,699500,740000,695000,749000,749000,747000,749000,749000,699900,7e+05,765000,799500,799000,799000,825000,799000,799000,825000,825000,799000,799000,850000,850000,799000,775000,785000,795000,799000,810000,825000,875000,895000,895000,849500,850000,899000,897000,917500,9e+05,862500,875000,889500,867500,887000,875000,927300,950000,1050000,1050000,1100000,1125000,1070000,1150000,1195000,1195000,1185000,1200000,1200000,1210000,1250000,1295000,1325000,1375000,1325000,1375000,1300000,1297000,1315000,1250000,1250000,1250000,1315000,1295000,1275500,1276000,1300000,1375000,1340000,1250000,1195000,1188000,1149500,1275000,1275000,1275000,1200000,1195000,1150000,1150000,1190000,1199999,1269426.5,1250000,1188800,1095000,1050000,1040000,1050000
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,360400,349900,339000,349000,339250,347450,346900,339950,339000,339000,339900,333050,338500,339450,339000,339000,339000,335000,329900,329000,329000,325000,325000,325000,335000,339000,349000,339900,329900,320000,325000,329500,335000,336000,338000,339900,329900,334500,349900,349000,349450,349900,359900,369000,369700,369450,356250,349900,359900,362000,375000,365000,349000,345000,339900,359000,375000,369450,362000,365000,359900,361950,359990,360000,349999,350000,349900,344000,349900,349900,349900,349900,349900,387250,385000,369500,369500,370000,370000,379900,389000,394450,399900,399000,429500,446950,440000,439000,429900,440000,435000,439000,449900,450000,449950,474950,449000,449000,445000,425000,419900,415000,414900,416750,415000,417000,409000,4e+05,399000
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997000,1995000,1990000,2150000,2095000,2015000,2012500,2095000,1990000,1999500,1990000,1995000,1950000,1975000,1997000,1995000,1997000,1995000,1997499.5,1995000,1950000,1795000,1695000,1695000,1750000,1699500,1695000,1650000,1690000,1697000,1697000,1750000,1750000
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,394950,399900,389999.5,389900,389900,395000,389949.5,399000,379450,389000,384000,379000,381999.5,376000,379000,387000,379900,379900,379000,389000,399000,399000,379000,375000,366000,379000,375000,404000,382450,399000,399999,399900,399950,389900,399720,399640,423150,409000,399999,409900,409500,415000,4e+05,395000,434250,425000,424950,445000,450000,445000,424708,425000,410999.5,414900,424900,424950,426750,439000,425000,449000,465000,450000,450000,449000,444900,442400,430900,435000,449000,450000,450000,464450,475000,475000,442500,447500,449000,465000,499000,518500,524900,549900,552000,547000,559000,552000,538450,539000,519900,5e+05,5e+05,520000,549000,547000,599000,624900,639900,615000,585000,569999,570000,550000,549947.5,549900,550000,565000,569999.5,575000,574900
"10002","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,1150000,1200000,1225000,1175000,1195000,1162500,1075000,1100000,1094500,1197500,1250000,1350000,1350000,1390000,1538000,1538000,1538000,1497500,1502000,1538000,1573000,1580000,1580000,1630000,1600000,1610000,1555500,1563500,1568500,1562500,1550000,1502000,1519000,1525000,1538000,1573000,1560000,1550000
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144950,145000,145000,145000,145950,146900,169999,175000,155000,149950,155000,157500,160000,149000,160000
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",7,250000,250000,249900,249400,249000,249000,249000,245000,239500,235000,229000,224900,224000,224900,229950,229900,229900,225000,224500,220000,219900,214900,215000,214000,203500,199900,209900,215000,210000,2e+05,2e+05,197150,189000,189000,189900,182000,189900,199450,219450,220000,224900,226250,225000,225000,219000,219950,221000,210000,209950,219950,235000,239900,236000,238888,239000,235000,235000,229250,229000,224900,219900,230350,235000,230000,229900,229000,229900,225000,219900,219950,215000,209900,222450,225000,239825,242000,244900,245000,249700,249900,249900,249900,240000,225000,221250,223500,235000,239900,239838.5,249700,240000,231000,229900,235000,239900,235000,249250,249250,259900,259900,254200,255900,257450,259900,269500,265000,259900,244900,248500
"11226","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597000,580000,580000,575000,575000,575000,575000,555000,549000,547000,554000,549000
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996500,998000,1090000,1075000,1198000,1145000,1088000,1053500,1195000,1195000,998000,992500,995000,995000,995000,999000,1050000,996500,1096500,1150000,1159500,1099000,1099950,1150000,1020000,1098000,1099000,1074000,1198500,1198500,1161500,1049000,1095000,1049000,989000,988000,1112500,1112250,1099000,1150000,1045500,1045000,999990,995000,991944,991944,998000
"10016","New York","NY","New York-Newark-Jersey City","New York County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350000,1390000,1356000,1320000,1299000,1299000,1300000,1299995,1300000,1299000,1299000,1299000,1275000,1249000,1295000,1275000,1295000,1250000,1200000,1150000,1195000,1168000,1177500,1150000,1200000,1195000,1225000,1212500,1050000,1125000,1109500,1192000,1185000,1195000,1199000,1249500,1275000,1275000,1295000,1284500
