"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896950,892000,895000,859500,845000,899000,894950,982500,982500,9e+05,819000,799000,832000,824900,844500,850000,876450,949000,990000,960000,925000
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",2,499000,549000,527000,499000,499000,499000,499000,499000,490000,480000,479000,479000,479000,469000,469000,465000,452500,459000,449995,449990,449000,449000,449000,449000,429000,434500,425000,449000,447000,445000,449495,447000,435000,399000,399000,399000,399000,399000,399000,449500,459000,499000,499000,519000,519000,519000,499000,499000,499000,499000,519000,499000,499000,489000,489000,479000,479000,495000,479000,479000,495000,495000,495000,495000,495000,5e+05,529000,529000,529000,519000,499000,514450,499000,499000,499000,519000,530000,567000,550000,549000,549000,549000,549000,572495,599000,590000,579000,575000,579000,575000,575000,575000,550000,579000,575000,555000,560000,550000,597000,599999,599000,599000,599499.5,629000,610000,599000,609500,599000,599000
"11226","New York","NY","New York-Newark-Jersey City","Kings County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849499.5,849000,850000,849999.5,825000,799999,825000,885000,913500,950000,1042000,1124500,1022500,992000,949500,950000,989999,924500,949500,987499.5,992499.5,987499.5,997000,995000,995000,995000,975000,999000,1100000,1125000,1269500
"11235","New York","NY","New York-Newark-Jersey City","Kings County",4,650000,650000,650000,650000,658000,659000,669000,658888,658888,690000,687000,699000,699000,679000,697000,685000,698500,699000,699000,719000,699000,695500,699000,720000,699000,715000,702000,705000,699000,678000,699000,709000,720000,699000,689000,678500,679000,665000,697000,699999,720000,720000,720000,749000,720000,749000,652999.5,720000,712000,699000,699000,727000,739000,749000,749750,799000,780000,769000,799000,789000,799000,831500,817500,815000,804500,799000,804500,819900,808500,808500,824500,849000,899000,899500,930000,949999.5,949900,995000,952500,949000,969000,949500,978000,974500,995000,998000,1044000,999000,1009499.5,999999,999000,999000,999993.5,1059000,1099000,1100000,1170000,1124000,1100000,1138000,1179950,1199000,1199000,1199000,1188000,1150000,1199000,1250000,1199500
"60647","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445000,475000,480500,450000,415900,389000,409000,409000,399090,399750,419900,437000,449950,447550,445200,447500,419000,405000,447500,464450,450000,449450,449900,449900,425000,444750,455000,455000,450000,490000,490000,489500,475000,499900,490000,509999.5,540000,585000,6e+05,599000,599500,599000,6e+05,575000,596950,599900,599000,599000,599000,579450,585000,577000,594000
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439900,429900,402500,425000,409900,393250,354500,339900,350000,354900,379500,379500,399000,399000,399900,399900,380000,387500,395500,419000,450000,469950,469000,474500,482000,474900,489000,485000,465000,479500,481500,480500,497000,492000,499000,515000,529000,499950,5e+05,499500,499999,489000,472450,459700,469900,475000,524950,549500,549000,549000,549450,545000,529000,529900,532450,529000,560000
"10462","New York","NY","New York-Newark-Jersey City","Bronx County",7,475000,479000,480000,479000,475000,469000,469000,469000,465000,469000,465000,469000,467000,469000,469000,462000,464000,449000,449000,459000,467000,452450,449000,441500,439000,449500,450000,450000,450000,449000,449000,469500,479000,475000,450000,472500,449000,450000,442000,442000,469000,469000,469000,450000,450000,472000,475000,459000,499000,529000,529000,529000,549000,549000,550000,579000,579000,575000,579000,579000,555000,555000,549000,550000,572000,579000,579000,579000,549000,549000,549000,549500,572500,579000,589000,592000,592000,554000,579000,594500,604950,610000,554500,579000,579000,549000,525000,539000,515000,525000,522000,549995,589495,584500,579500,579500,599949.5,584000,6e+05,629000,639000,649000,649000,649000,649000,649000,672000,619000,619000
"10456","New York","NY","New York-Newark-Jersey City","Bronx County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629500,599000,599000,609999,622500,615000,599492.5,622000,594000,614499.5,634949.5,584999
"11206","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695000,1539000,1500000,1399500,1397000,1300000,1320000,1299000,1299000,1300000,1395000,1392500,1395000,1400000,1450000,1425000,1495000,1447500,1495000,1399500,1395000,1395000,1399000,1399499.5,1399000,1500000,1599000,1553000,1599000,1524500,1500000
"11212","New York","NY","New York-Newark-Jersey City","Kings County",10,479999,495000,505000,492000,495000,499000,498000,499000,482499.5,484500,489000,475000,485000,499000,489000,489000,489000,489000,479000,459450,479000,489000,499000,499000,489000,489000,499000,479500,470500,479000,479000,489000,464500,464500,489000,485000,485000,479000,476500,479000,489000,479000,499000,489000,479499.5,494000,519000,519000,529000,529000,529000,539000,539000,539000,539000,529000,539000,529000,549000,569000,584000,589000,579000,550000,550000,550000,554500,579000,584000,599000,599000,629000,659000,659000,659000,669999,669499.5,729000,729000,729000,729000,739000,739000,739000,729000,749000,749000,785000,749000,749000,759000,749000,739000,729000,749000,750000,750000,777000,769000,749000,739000,799000,799000,777500,787000,795000,799000,772000,779000
"11230","New York","NY","New York-Newark-Jersey City","Kings County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525000,1500000,1447500,1375000,1510000,1490000,1490000,1500000,1492000,1396500,1396500,1395000,1349000,1391500,1385000,1385000,1449999.5,1395000,1369000,1390000,1400000,1499000,1500000
