"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475000,480000,492500,492500,499000,499000,495000,491500,450000,442000,498000,498000
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,239000,235000,239700,235000,228500,224900,225000,225000,222450,219000,215000,214900,207500,2e+05,199000,199000,199000,195000,194900,194900,194900,189900,190000,195000,185000,188250,189000,189000,189000,189000,185000,184900,179900,184000,184950,185000,189900,198000,192000,195000,195000,195000,195000,195000,199950,199950,199000,195000,198500,209450,207000,204900,209000,210000,211450,210000,209950,209000,209000,205000,210000,214900,215000,214900,215000,220000,219900,219900,219900,219900,220000,220000,219900,219900,220000,224900,219900,219900,220000,224500,225000,219000,217450,219900,229000,235500,229900,229000,229000,237000,239900,239900,238500,235000,235000,235000,235000,235000,239950,249000,249250,248500,247900,248450,249000,246250,245000,246450,242250
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470000,462000,465000,453000,449000,449000,469000,479000,455000,475000,490000,479000,490000,495000,5e+05,510000,499000,499000,499000,499000,499000,499000,499000,499000,495000,495000,495000,495000
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,178990,178995,179900,183900,182500,181900,179900,178000,175000,175000,174900,174895,174410,173990,171995,170000,170115,172990,174990,174900,172990,174900,174900,172900,174900,174945,174415,175000,176695,176295,177157.5,178000,179945,181950,180000,184900,184900,180158.5,181000,183653.5,185000,189925,189950,186200,194900,192000,184995,185250,193450,198000,195000,190000,195000,199900,195450,197500,193500,2e+05,210000,215000,209490,213450,217990,216000,215245,219000,219900,223945,223450,225022.5,228057.5,229900,229000,229850,228995,228995,235000,235000,231000,235000,235000,237247.5,237742.5,239000,239000,240990,240495,240000,240000,240000,240000,240000,240000,244997.5,245000,239990,245247.5,247500,249000,249945,249900,249000,249950,249000,249000,249000,249900,253036,251990
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,229000,225000,225000,225000,221000,219250,219500,219700,217900,219000,219000,219000,209950,215000,209950,215000,215000,214900,205000,199900,2e+05,199900,199000,190000,189950,195000,195000,199000,199000,198000,199000,193750,192500,192250,189750,186000,189000,186000,195000,199000,199000,199450,197700,199900,209450,214000,209900,211950,216750,212450,219000,224500,228750,224900,225000,224900,220000,217000,221450,220000,229900,230250,230500,227250,225000,224000,226250,225000,225000,219900,219900,226999,229949.5,225000,225000,229499.5,235000,239900,239900,239000,234950,234950,229950,230000,239900,239900,249000,249000,245000,249450,245000,240000,239900,240000,234900,235700,230000,239900,249947.5,259000,255000,255000,249900,250000,250000,255000,255000,252500,250000
"79936","El Paso","TX","El Paso","El Paso County",6,124000,122000,123000,120000,120000,120000,119900,119950,119900,119950,119635,119500,119500,119900,118975,117500,118975,119950,119900,119000,119900,119900,119900,119900,119500,117850,118900,118500,117000,119000,119950,117950,116900,115000,114900,113925,113950,115000,115900,116225,117000,118000,116250,118000,118500,118000,119000,118000,118000,117900,119000,119000,119500,120000,119700,119835,119500,119000,118250,118000,116975,115000,116000,115300,116000,116950,116950,118500,118760,116975,115925,116000,115900,116000,117900,118000,119900,118250,120000,120000,120000,119900,120000,120000,119999,120000,120000,120000,122950,124900,124889,125000,125000,124950,124289,123925,125000,124975,123700,126335,126900,129900,129900,129500,129000,129900,129999.5,132000,129900
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",7,134900,135500,136950,137900,135900,135700,135000,135000,134994.5,134500,135500,134900,134500,134394,134288,133945,132850,133500,132800,134900,134144,134970,134545,134900,135000,135000,134000,136900,137000,134950,135000,135247.5,135497.5,137500,138000,139950,141495,144900,145495,147783,147783,148057,149500,152938,155000,158990,159789,160495,163950,163435,162990,164337.5,164500,163950,164900,165000,169900,172700,173195,176900,179900,179900,175495,176475,175000,175000,180000,180000,182450,185000,184995,185997.5,185315,185000,187415,186700,185900,185990,185000,184700,183000,183000,184992.5,187495,184900,185000,187870,189992.5,193450,194865,193700,194090,191990,194990,195000,197690,199900,199900,2e+05,200495,200495,199994,206750,207725,205000,205000,205000,205000,209900
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",8,140000,140000,140000,138990,140000,139900,139900,139000,139900,139900,139995,139900,138900,138450,139700,138000,136500,135000,135000,134900,130000,134900,134900,134925,134900,134900,134995,134700,134900,134900,138000,136990,135900,139000,139000,139900,139900,139725,140715,144900,147500,145000,146000,149800,149900,149900,149900,152100,159900,160000,159900,151690,150000,150000,149900,154900,154900,157250,159988,167000,163950,160000,159900,160000,165000,165000,169900,169900,170000,178000,178990,180000,178000,179700,179995,185495,189900,189900,189900,189000,188203,188476.5,187495,188990,189490,189900,190045,194000,194900,195690.5,196250,199450,195000,195900,196995,199900,199700,197750,199435,198000,198900,196995,199900,199000,199000,199000,199500,199900,199900
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",9,224900,224900,223000,224000,220000,219000,217000,214900,214950,209900,209000,204000,199900,199900,198950,189900,189900,189900,189949.5,189999,195000,194950,189999.5,189900,184950,179900,182000,179000,179500,179000,179900,179900,175000,179000,179000,174900,174995,179000,177000,179450,182000,182500,180000,179700,179900,195000,191450,185000,189950,194000,199250,199900,204450,202000,209000,204900,209999,209900,209700,199900,199000,199900,209900,209900,199900,199900,209000,207000,205000,203995,199700,199700,199900,199900,209900,216999.5,219900,219945,221750,220000,219900,214950,214900,214900,214000,215000,219000,224500,224500,225000,225000,219900,215000,215000,215000,224950,229450,235000,239000,239900,237250,235000,235000,235000,238700,239250,235000,235000,234950
"11226","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442500,465000,457000,459500,465000,462500,469000,475000,487000,487000,485000,485000,495000,497000,499000,495000,499000,499499.5,512499.5,519000,532500,535000
