"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,875000,895000,895000,882000,875000,849000,849000,825000,849000,849000,845000,841000,899000,875000,899000,899000,899000,925000,925000,899999,905000,977000,1125000,1137000,1050000,1050000,997750,930000,975000,950000,927000,920000,950000,950000,965000,899000,890000,885000,885000,895000,895000,990000,1075000,1100000,975000,1075000,1150000,1197000,1150000,1100000,995000,995000,1050000,1085000,1100000,1100000,1135000,1148500,1199000,1195000,1195000,1225000,1225000,1292500,1350000,1346500,1320000,1350000,1350000,1349999.5,1325000,1450000,1470000,1500000,1485000,1549000,1499500,1497000,1575000,1462500,1450000,1395000,1445000,1399000,1444500,1445000,1450000,1475000,1425000,1384000,1300000,1300000,1275000,1394000,1395000,1450000,1395000,1295000,1295000,1295000,1297000,1395000,1449500,1397500,1345000,1295000,1260000,1250000,1295000
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,465000,449900,442450,440000,439900,439999.5,445000,445000,425900,427450,425000,425000,423000,435000,429450,425000,425000,424500,429000,425000,421000,414950,421000,420000,424700,424000,435000,432500,425000,424450,424000,415000,432450,425000,424500,424000,425000,429250,435000,439350,449000,449000,449000,449000,449900,465000,439000,439450,445000,449000,449000,459900,469900,475000,496500,473450,479900,464950,456499.5,475000,475000,472000,460000,465000,489425,499949.5,494750,499000,515000,524950,525000,519500,529900,549000,531950,534000,531000,540000,550000,569900,595000,6e+05,630000,670000,669500,635000,625000,625000,634999.5,625000,597000,625000,624950,624900,619900,675000,649900,625000,599000,598500,6e+05,595000,599000,595000,599000,582500,585000,577000,575000
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275000,2360000,2277000,2271000,2250000,2305000,2295000,2277000,2299000,2350000,2300000,2365000,2355000,2335000,2250000,2265000,2299500,2260000,2297500,2291500,2345000,2350000,2347000,2030000,1885000,1875000,1895000,1888000,1895000,1895000,1900000,1897000,1895000,1982500,2e+06
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,329900,319900,324900,320000,321685.5,327010,317870,315825,309867.5,308000,306900,306068,303438,304750,306990,305000,3e+05,298421,299450,294702,299850,299900,299850,304900,302225.5,299433,305686,301990,307838,306990,304880,309945,309007,309950,312053,310000,314900,320000,332900,333903.5,335990,341970,339900,340000,346904,350104,349900,354715,352950,362945,374950,379900,375000,375000,379990,380538.5,377990,382826,393610.5,399990,406900,399500,399900,402183,399999,395365,399900,393990,398800,397625,395990,394990,395995,385000,385990,385000,389900,390000,387990,389900,389900,389900,385000,388995,393565.5,395000,394900,399000,399900,399925,399000,395000,394900,395990,395990,395990,395000,398895,399000,399990,399697,394900,395000,398990,398930,399500,399900,398800,395000
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,559500,529900,519000,5e+05,512000,529000,527500,549000,524999.5,520000,525000,530000,539900,540000,525000,529000,525000,519000,524900,525000,549000,549900,550000,549500,549900,565000,549250,565000,549000,550000,569000,599000,599000,599000,624950,599450,599900,599000,575000,579450,577450,559000,559000,549000,614950,589000,595000,609000,589900,560000,539900,549000,549000,549900,559900,565000,575000,589000,599000,629000,679000,625000,645000,649000,625000,625000,625000,625000,671200,649000,650000,650000,675000,689000,649000,650000,674950,699949.5,710000,719000,719000,749000,767500,799000,780000,787500,750000,749000,749900,747500,748250,749000,749999.5,749999,865000,874000,860000,799000,769950,799000,8e+05,799000,765000,749950,780000,789900,799000,799000,795000
"79936","El Paso","TX","El Paso","El Paso County",6,198000,199600,199550,197000,199000,196950,190000,189800,190000,190700,194500,199700,195000,195000,199000,198250,195000,189900,189000,189500,186950,185000,182100,184900,185000,185000,189990,188500,190200,192000,190000,185000,194600,193000,194200,190400,189900,189700,191500,190000,195200,195900,192200,192200,192500,189900,189900,185000,185000,184950,182475,184250,189900,189900,189999,194900,192500,192500,194900,192000,192100,191500,189000,189900,191500,191900,190000,196000,192750,188950,193000,189950,189875,185000,195475,195475,192500,190000,190000,189950,183500,181550,181000,179999.5,180500,183450,180000,185000,184950,195000,199770,199000,199125,190000,190000,198200,197450,197425,195900,199890,208500,206500,210000,208000,218000,217500,222500,227500,212450
"10002","New York","NY","New York-Newark-Jersey City","New York County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1187500,1200000,1250000,1300000,1200000,1200000,1200000,1150000,1197500,1150000,1285000,1300000,1375000,1385000,1427500,1551000,1551000,1574000,1538000,1538000,1570000,1580000,1600000,1600000,1657000,1630000,1630000,1577000,1580000,1591000,1580000,1568500,1538000,1550500,1560000,1573000,1605000,1580000,1589000
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",8,370000,365400,359000,359000,355000,349999,355000,349900,349000,349000,339900,339000,329900,325000,320000,319000,317000,315000,314881.5,314900,314863,317000,319000,319950,308000,299900,309000,314450,315000,319450,325000,325000,329500,329000,324900,3e+05,299000,299000,299700,324700,324900,322200,329950,327000,337500,324900,336250,319990,339000,342750,349000,348500,350000,349900,349500,359450,364500,359900,365000,365000,365000,349950,359900,360000,365000,375000,375000,358500,365000,369900,389950,389950,389000,395000,389900,389450,405000,411900,399999.5,419000,416250,399900,399900,427000,419950,420000,399900,419000,419000,419000,419000,419000,415000,442200,449000,454500,449000,419000,399000,405000,409500,415000,415000,417000,4e+05,409000,404500,410000,415000
"11226","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842500,852000,875000,799000,7e+05,705000,725000,785000,792500,849500,849500,785000,799000,842000,799000,799000,799000,799000,820000,799000,797000,792000,797000
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577500,1499000,1705000,1540000,1520000,1649000,1722500,1795000,1849500,1822500,1772000,1785000,1790000,1790000,1801000,1801000,1802000,1695000,1944500,1765500,1975000,1950000,1985000,1765500,1698000,1797500,1795000,1795000,1795000,1757500,2045500,2200000,2270000,2345000,1998000
