"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,2750,2775,2650,2800,2912.5,2850,2900,2895,2837.5,2695,2900,2750,2800,2800,2900,2900,3100,3115,3175,3200,3099,3100,3204.5,3250,3200,3200,3100,2931.5,3200,3300,3350,3490,3500,3397.5,3380,3350,3350,3400,3400,3400,3350,3362.5,3450,3385,3400,3400,3375,3400,3400,3380,3362.5,3400,3477.5,3500,3500,3500,3500,3500,3495,3450,3500,3500,3380,3362.5,3445,3490,3500,3500,3500,3490,3445,3400,3500,3445,3500,3490,3450,3490,3385,3445,3450,3362.5,3400,3380,3300,3350,3400,3400,3350,3380,3325,3400,3450,3400
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1997.5,1900,1900,1900,1912.5,1972.5,2150,2100,2200,2000,1950,1972.5,1995,1937.5,1950,1900,1950,1897.5,1950,2100,2100,1950,1700,1825,1785,1895,1850,1900,1900,1995,2075,2100,2100,1995,1850,1800,1795,1750,1750,1750,1900,1850,1880,1900,2000,1900,1850,1800,1850,1750,1800
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,4750,4600,4297.5,3900,3650,3500,3395,3300,3400,3462.5,3560,3560,3500,3425,3300,3400,3300,3295,3444.5,3500,3495,3408,3404,3450,3400,3400,3400,3400,3450,3364.5,3300,3400,3400,3395,3500,3762.5,3850,3950,3900,3900,3950,4000,3800,4200,3925,3900,3950,3972.5,3875,3825,3950,3850,3897.5,3885,3897.5,3870,3950,3885,3950,3897.5,3875,3950,3995,3950,3962.5,3950,3870,3850,3795,3775,3697.5,3737.5,3695,3750,3800,3800,3800,3850,3925,3950,3950,3795,3750,3800,3850,3810,3800,3695,3600,3795,3790,3795,3800,3797,3800,3870,3850,3795,3850
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,1995,2000,2150,1950,1800,1700,1675,1900,1800,1792.5,1800,1900,1850,1892.5,1850,1842,1950,1975,2000,1857.5,1900,1970,2100,2100,2175,2175,1952.5,1895,1877.5,1800,1750,1750,1755,1725,1700,1780,2025,2125,2192.5,2190,2197.5,2190,2100,1850,2150,2225,2100,2100,2003,2200,2272.5,2300,2300,2195,2092.5,2050,2197,2100,2050,2000,2000,2000,1990,2015.5,2180,2100,2047.5,2112.5,2190,2297.5,2197,2190,1897.5,1992.5,2000,2095,2000,2150,2155,2200,2200,2350,2300,2200,2100,2100,2180,2195,2180,2000,1900,1850,1950,1950,1995,2045,1900,1900,1995,1947.5
"10002","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,,,,,,,,,,,2575,2650,2775,2700,2550,2750,2795,2750,2600,2600,2650,2800,2850,2800,2800,2800,2800,2800,2818,2900,3000,2800,2700,2800,2850,2800,2700,2800,2995,2950,2900,3000,2995,3200,3000,3250,3250,3300,3000,3000,2700,2725,3097.5,3000,3200,2975,2875,2700,2700,2900,2850,2950,2750,2775,2700,2725,2800,2700,2695,2700,2695,2900,3250,3100,3097.5,3150,3075,3000,2899,2699,2700,2700,2700,2847.5,3000,3000,3000,3000,3000,3000,2925,3000,2925,2900,2950,2700
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",6,,,,,,,,,,,,1425,1395,1285,1250,1150,1125,1200,1297.5,1395,1300,1305,1300,1327.5,1362.5,1305,1300,1250,1200,1300,1375,1395,1350,1350,1275,1300,1280,1250,1200,1200,1200,1195,1245,1350,1400,1400,1400,1450,1435,1450,1450,1462.5,1575,1650,1550,1500,1450,1500,1500,1500,1550,1500,1435,1450,1550,1597.5,1650,1500,1462.5,1500,1475,1595,1550,1545,1490,1495,1510,1500,1500,1500,1550,1495,1500,1550,1600,1650,1595,1562.5,1575,1500,1500,1500,1475,1500,1500,1500,1495,1475,1520,1575,1595,1550,1500,1495,1495,1495,1450,1450
"11226","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545,1600,1600,1547.5,1625,1587,1547.5,1599,1600,1650,1650,1650,1650,1675,1650,1712.5,1675,1725,1800,1800,1800
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,4200,4372.5,4497.5,4300,4200,4390,4400,4300,4450,3700,4200,3800,3500,4000,3800,3497.5,3972.5,4049.5,4195,4247.5,4000,3850,3850,3975,4200,4150,3700,3525,3925,3997.5,4195,4250,4300,4295,4225,4200,4175,4275,3995,3972.5,3925,4122.5
"10016","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,3200,2850,3200,2899.5,2885.5,2895,2850,2900,3000,3000,2972.5,2950,2950,2938,2900,2995,3000,3015,3125,3200,3195,3195,3195,3195,3197.5,3100,3050,3082.5,3100,3125,3200,3200,3200,3200,3200,3314,3307,3395,3425,3450,3400,3314,3300,3295,3300,3395,3400,3400,3400,3400,3400,3400,3400,3400,3412.5,3400,3400,3450,3450,3497.5,3500,3500,3499.5,3499,3450,3500,3480,3400,3400,3437.5,3400,3400,3395,3300,3400,3400,3475,3465,3412.5,3500,3400,3400,3400,3400,3400,3400,3450,3370,3400,3437.5,3400,3425,3500,3450,3400,3400,3400,3350,3300
"11375","New York","NY","New York-Newark-Jersey City","Queens County",10,,,,,,,,,,,,,,1400,1475,1500,1497.5,1525,1562.5,1700,1700,1450,1525,1675,1625,1562.5,1675,1700,1700,1737.5,1750,1700,1700,1650,1750,1737.5,1725,1650,1650,1750,1750,1875,1900,1950,1800,1850,1800,1800,1700,1740,1750,1775,1712.5,1850,1850,1812.5,1800,1800,1850,1800,1900,1850,1800,1800,1800,1872.5,1900,1950,1875,1850,1900,1897.5,1875,1850,1900,1900,1950,1900,1950,1950,1872.5,1950,1950,1895,1875,1895,1895,1950,1950,1895,1897.5,1900,1922.5,1850,1800,1800,1850,1850,1900,1900,1900,1850,1950,1950,1922.5,1900,1897,1900
