"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,2587.5,2600,2600,2750,2775,2750,2750,2800,2775,2762.5,2700,2695,2785,2800,2897.5,2800,2895,2812.5,2999.5,3117,3295,3125,2967.5,2984,3000,3100,3195,3200,3250,3200,3200,3200,3250,3200,3200,3250,3215,3250,3295,3250,3200,3195,3000,3175,3150,3100,3140,3102.5,3195,3195,3195,3145,3100,3095,3100,3175,3195,3195,3190,3150,3175,3180,3037.5,3037.5,3200,3200,3095,3238,3295,3200,3000,3200,3095,3100,3100,3100,3070,3200,3250,3295,3200,3100,3106,3150,3100,3050,3050,3133,3200,3241.5,3168.5,3195,3200,3245,3200,3252.5
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,1195,1175,1250,1350,1295,1275,1295,1312.5,1265,1275,1350,1475,1407.5,1450,1475,1597.5,1600,1480,1535,1525,1572.5,1500,1500,1535,1500,1545,1525,1487.5,1400,1465,1395,1350,1412.5,1400,1475,1495,1450,1495,1525,1500,1500,1427.5,1425,1525,1545,1550,1600,1555,1550,1645,1695,1750,1697,1500,1595,1495,1500,1500,1495,1507.5,1595,1595,1600,1650,1550,1460,1450,1500,1425,1450,1475,1525,1550,1565,1605,1625,1595,1575,1550,1550,1496,1510,1595,1575,1585,1595,1695,1675,1655,1540,1450,1495,1495,1495,1581
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,3000,2880,2912.5,2950,3000,3100,3087.5,3400,3195,3300,3143.5,3195,3295,3195,3200,3195,3200,3250,3295,3200,3350,3300,3300,3300,3200,3200,3100,3250,3195,3200,3300,3300,3399,3495,3500,3400,3400,3400,3400,3442.5,3450,3450,3495,3418,3500,3434.5,3400,3450,3397,3369,3448.5,3465,3500,3300,3300,3400,3450,3450,3300,3300,3300,3250,3295,3300,3350,3300,3250,3300,3250,3300,3350,3289.5,3200,3167,3250,3200,3200,3250,3300,3400,3324,3300,3429.5,3385,3350,3393,3362.5,3200,3200,3299.5,3299,3250,3200,3395,3325,3297,3275,3285
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,1400,1347.5,1435,1500,1500,1595,1522,1425,1544,1545,1650,1625,1600,1600,1600,1600,1705.5,1825,1775,1657.5,1595,1695,1653,1597.5,1665,1687,1695,1700,1850,1800,1825,1690,1665,1592.5,1668,1670,1750,1700,1650,1670,1650,1800,1750,1750,1800,1895,1950.5,1895,1926,1844.5,1700,1750,1895,1997.5,1895,1895,1837,1800,1945,1967,1900,1970,1900,1895,1900,1950,1845,1675,1725,1575,1650,1600,1677.5,1700,1750,1750,1850,1895,1975,1900,1863.5,1800,1800,1894.5,1860,1800,1850,1900,1950,1950,1895,1800,1700,1750,1775,1795,1995
"10002","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,2375,2297,2300,2350,2395,2595,2495,2512.5,2525,2495,2497.5,2500,2500,2625,2600,2600,2600,2595,2600,2750,2800,2625,2595,2600,2672.5,2700,2750,2790,2785,2750,2750,2800,2795,2750,2750,2700,2795,2795,2795,2895,2950,3095,3062.5,3000,3075,3100,2995,3000,2995,2995,2925,3150,3150,3199,3300,3100,3099,3000,3100,3100,3083.5,2995,2997.5,3387,3124,3200,3274.5,3000,3200,2995,2900,3200,3062.5,3075,3200,3200,3200,3199,3100,2995,2950,2895,2860.5,2900,3000,3100,3200,3195,3208,3275,3295,3295,3285,3250,3183
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",6,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1175,1150,1275,1300,1300,1250,1295,1275,1250,1250,1275,1250,1250,1200,1200,1237,1250,1250,1250,1200,1225,1250,1300,1300,1250,1275,1300,1300,1300,1300,1300,1325,1350,1400,1400,1400,1400,1412.5,1400,1400,1400,1450,1450,1400,1425,1450,1400,1450,1495,1485,1485,1450,1497.5,1492.5,1500,1500,1500,1500,1550,1525,1550,1512.5,1500,1550,1625,1600,1587.5,1650,1675,1700,1695,1600,1700,1650,1700,1675
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",7,,,,812.5,825,895,875,845,825,845,825,800,800,899,885,975,995,995,1050,1050,995,1007,1052.5,1025,1150,1175,1141.5,1138,1125,1147.5,1100,1100,1100,1138,1130,1180,1155,1160,1150,1175,1150,1175,1175,1175,1175,1195,1195,1200,1195,1250,1210,1200,1200,1197.5,1195,1202.5,1205,1295,1275,1225,1277.5,1295,1250,1250,1300,1350,1325,1300,1300,1285,1195,1247.5,1245,1195,1150,1200,1295,1300,1350,1350,1350,1350,1350,1300,1325,1300,1350,1395,1450,1429,1450,1492.5,1500,1450,1350,1350,1300,1325,1395,1425
"11226","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,,,,,,,,,,,1487.5,1400,1385,1300,1297.5,1350,1295,1400,1400,1400,1350,1399.5,1375,1517,1550,1500,1500,1499,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1772.5,1775,1750,1750,1800,1800,1795,1750,1750,1800,1850,1950,1850,1825,1895,1875,1925,1900,1899.5,1900,1900,1900,1900,1950,1995,1999,1950,2100,1900,2000,1846,1900,1900,1950,1950,1950,2000,2063,2000,2000,2000,1950,1950,1999,2000,1999,2000,2025,2150,2199,2250,2150,2100,2063.5,2099,2100
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3625,3397.5,3200,3420,3600,3625,3625,3800,3725,3947.5,3947.5,3950,4050,3900,3750,3800,3750,3750,3950,3950,3825,3750,3725,3600,3947.5,3822.5,3601.5,3995,4200,3695,4000,3525,3600,3495,3550,3600,3497.5,3495,3472.5,3300,3550,3450,3347.5,3350,3250,3199.5,3150,3450,3350,3450,3495,3495,3495,3495,3450,3550,3495,3495,3450,3495,3600
"10016","New York","NY","New York-Newark-Jersey City","New York County",10,,,,2500,2550,2700,2750,2800,2850,2897.5,2900,2900,2900,2995,2900,2900,2900,2900,2900,3073,3089.5,3089.5,3150,3150,3150,3125,3050,3000,3000,3000,3000,3100,3100,3150,3195,3195,3175,3100,3100,3075,3100,3120,3150,3200,3200,3450,3421,3395,3375,3400,3425,3395,3395,3467,3450,3400,3400,3400,3395,3350,3325,3325,3272.5,3250,3295,3295,3295,3325,3300,3300,3299,3325,3400,3300,3300,3210,3285,3300,3375,3400,3395,3400,3425,3424,3398,3300,3300,3300,3300,3300,3387,3450,3495,3470,3472,3400,3495,3457,3495,3490
