"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,1775,1795,1795,1850,1900,2000,1900,1900,1900,1895,1900,1875,1900,1900,1900,1925,2000,2012.5,2100,2150,2095,2000,2100,2150,2100,2195,2122.5,1995,2100,2200,2200,2275,2300,2300,2250,2250,2250,2300,2250,2450,2312.5,2400,2350,2397.5,2495,2400,2400,2500,2500,2510,2612.5,2500,2600,2625,2700,2702.5,2649.5,2550,2605,2675,2650,2600,2595,2510,2400,2597,2600,2550,2400,2500,2500,2650,2600,2599,2550,2550,2543,2550,2500,2500,2634,2600,2600,2697.5,2625,2650,2700,2669,2450,2400,2400,2500,2650,2700
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,895,850,845,875,885,895,900,875,875,915,949.5,900,950,940,925,925,925,925,950,985,985,975,975,980,975,990,975,955,975,975,965,975,960,1015,1000,995,1050,1025,1000,1000,1015,1015,1020,1000,1050,1050,1050,1080,1095,1095,1125,1115,1090,1075,1075,1055,1060,1075,1070,1058,1150,1150,1150,1113,1145,1139,1130,1100,1095,1095,1095,1085,1150,1150,1145,1140,1140,1143,1125,1095,1050,1050,1025,1055,1125
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,2887.5,2447.5,2350,2350,2425,2500,2400,2350,2400,2300,2295,2200,2295,2295,2200,2245,2250,2235,2275,2299,2300,2350,2320,2300,2245,2200,2200,2200,2201,2300,2230,2250,2350,2300,2300,2375,2350,2395,2385,2337.5,2300,2400,2650,2695,2750,2845,2707.5,2700,2780,2771,2810,2885,2925,2917.5,2893,2780,2905,2895,2900,2850,2900,2925,2905,2900,2787.5,2750,2871.5,2650,2615,2650,2675,2600,2800,2800,2800,2800,2800,2755,2809.5,2765,2750,2797.5,2800,2815,2894,2900,2825,2800,2872.5,2800,2777.5,2700,2700,2765,2760,2795,2750
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,1340,1400,1275,1340,1425,1500,1500,1467,1469.5,1469,1350,1300,1275,1250,1250,1205,1300,1300,1350,1342,1400,1395,1350,1350,1255,1255,1315,1375,1395,1405,1457.5,1450,1450,1395,1350,1337.5,1295,1295,1250,1250,1255,1285,1250,1270,1360
"79936","El Paso","TX","El Paso","El Paso County",5,,,,,,,,,,,,,,,,,1000,995,975,950,995,1000,1075,1037.5,1050,1050,995,1050,1075,1025,1000,1000,1000,995,985,985,975,975,950,950,967.5,960,950,950,950,995,975,975,950,950,995,995,995,1000,995,975,995,962.5,950,950,950,975,995,1000,1000,1012.5,1000,1000,1000,995,1000,995,1000,1000,975,995,950,982.5,975,985,975,975,975,970,1000,995,995,995,995,995,975,995,985,995,995,995,1050,1035,1050,1045,1000,1050,1050,1050,1050,1050,1000
"10002","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2472.5,2362.5,2400,2700,2500,2500,2650,2595,2495,2495,2575,2690,2500,2400,2300,2495,2250,2295,2495,2297.5,2200,2197.5,2400,2600,2500,2500,2495,2300,2370,2450,2355,2275,2202.5,2400,2250,2199,2200,2250,2512.5,2500,2285,2300,2295,2250,2275,2250,2250
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",7,,,,,,,,,,,,,,,,,,,,,,,950,950,950,925,950,925,950,950,950,950,950,950,950,975,1000,1025,1000,1000,1000,1025,1085,1025,1000,1000,1040,1050,1050,1050,1100,1099,1090,1100,1200,1125.5,1128.5,1150,1131,1200,1175,1125,1150,1212.5,1200,1300,1250,1250,1250,1250,1275,1275,1275,1250,1295,1275,1325,1325,1300,1250,1250,1300,1250,1275,1300,1300,1300,1325,1300,1300,1250,1250,1250,1300,1399,1500,1450,1450,1400,1408,1517,1500,1475,1500,1425,1325,1425
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",8,,,,,,,,,,,,,,,,,,725,727.5,725,725,725,745,735,750,782.5,765,755,765,775,795,795,790,780,807.5,820,822.5,850,820,850,835,850,845,825,835,830,810,812.5,825,826,825,825,825,850,882.5,850,860,830,854.5,850,850,885,885,900,950,950,950,950,950,950,950,965.5,995,975,1025,965,975,975,975,1000,975,975,985,995,1050,1025,1050,1050,1025,995,995,995,995,999,1045,995,990,995,1000,1035,1060,1020,995,960,962.5,995,1000
"11226","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1400,1395,1375,1375,1395,1375,1350,1437.5,1400,1400,1400,1450,1499,1500,1475,1450,1475,1450,1450,1400,1400,1400,1525,1550,1600,1625,1475,1525,1550,1600,1650,1700,1650,1750,1675,1750,1577,1775,1550,1550,1550,1512.5,1482.5,1525,1600,1572.5,1500,1550,1499.5,1500,1500,1595,1550,1525,1525,1550,1550,1635,1600,1616,1600,1562.5,1600,1597
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",10,,,,,,,,,,,,,,,,,,,,,,,,1495,1495,1650,1650,1637.5,1695,1695,1850,1750,2045,1897,1795,1900,1925,1750,1695,1812,1925,1899.5,1895,1995,2200,2225,2195,2195,2100,2122.5,2200,2150,2200,2200,2197.5,2465,2100,2250,2225,2160,2170,2097.5,2125,2295,2480,2395,2345,2295,2300,2395,2500,2600,2297.5,2395,2384,2372.5,2375,2195,2212.5,2295,2195,2197.5,2200,2295,2200,2195,2295,2200,2250,2275,2295,2250,2295,2295,2300,2285,2295,2295,2294,2295,2300,2295,2375,2395,2250,2285,2300
