"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-01-31,61639,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,1027300,-0.0203127980164028,-0.0409820761762509,-0.097117243803832,0.0245003034888251,0.0244682964478733,"2017-12","2017-Q4",1138500,-0.0976723759332455,"2015-08"
2019-01-31,84654,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,352300,-0.000567375886524823,0.00570939194975735,0.00916642795760527,0.0291190625328486,0.0115110844083965,"2018-03","2018-Q1",352700,-0.00113410830734335,"2018-03"
2019-01-31,61637,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,1363000,-0.00474625775830595,-0.0195655301395483,-0.1163122406639,-0.00400140415596384,0.0155680273767866,"2016-12","2016-Q4",1624100,-0.160765962687027,"2013-10"
2019-01-31,91982,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,335200,-0.00208395355760643,-0.00504600771742357,0.0384138785625774,0.0382796778958945,0.0310883631905794,"2018-09","2018-Q3",338400,-0.00945626477541371,"2018-06"
2019-01-31,84616,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,431800,0.000695249130938586,0.00512104283054004,0.0121894045944679,0.0342977065193328,0.0184371198053033,"2019-01","2019-Q1",431800,0,"2019-01"
2019-01-31,93144,"79936","TX","El Paso","El Paso County","El Paso",5,128200,0.00549019607843137,0.0150435471100554,0.0647840531561462,0.0281222692381065,0.00521681488700843,"2007-10","2007-Q4",132400,-0.0317220543806647,"2007-06"
2019-01-31,91940,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",6,181700,0.00442233278054174,0.0128205128205128,0.0472622478386167,0.0719091563310139,0.0358965889469045,"2019-01","2019-Q1",181700,0,"2019-01"
2019-01-31,91733,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,175000,0.00864553314121038,0.0275983558426307,0.0789149198520345,0.0716759406026986,0.0351342397296208,"2019-01","2019-Q1",175000,0,"2019-01"
2019-01-31,61616,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,948900,-0.0125910509885536,-0.0296553839860926,-0.0337067209775967,0.0526719350736204,0.0312882702001329,"2017-10","2017-Q4",1009800,-0.060308972073678,"2017-04"
2019-01-31,61807,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,423400,0.00165602081854743,0.00450771055753262,0.0881521459778977,0.0625573407688544,0.025359985262617,"2019-01","2019-Q1",423400,0,"2019-01"
2019-01-31,84640,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",10,237300,0.00168847615027438,0.00465707027942422,-0.00586510263929619,0.0359352019660386,-0.000964105231581081,"2007-01","2007-Q1",269900,-0.12078547610226,"2004-08"
2019-01-31,62037,"11226","NY","New York-Newark-Jersey City","Kings County","New York",11,827700,-0.00180897250361794,0.00108853410740203,0.135079539221064,0.127026532550017,0.0595385971001985,"2018-12","2018-Q4",829200,-0.00180897250361794,"2018-11"
2019-01-31,97564,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",12,1263500,-0.0021323645553625,0.000950645646835142,0.00813851432218942,0.0594307491184871,0.0523126530492435,"2018-11","2018-Q4",1269000,-0.00433412135539795,"2018-11"
2019-01-31,61630,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,991500,-0.0124501992031873,-0.0308865213566611,-0.032965961182093,0.0223634144141134,0.0191853754002962,"2017-02","2017-Q1",1092600,-0.0925315760571115,"2015-11"
2019-01-31,74101,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",14,220700,0.00592525068368277,0.021286441462286,0.116337885685382,0.113205179077554,0.0475447562107016,"2019-01","2019-Q1",220700,0,"2019-01"
2019-01-31,92593,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",15,249600,0.00160513643659711,0.00930044480388192,0.0391340549542048,0.0723742636865934,0.0375771022514999,"2019-01","2019-Q1",249600,0,"2019-01"
2019-01-31,71831,"32162","FL","The Villages","Sumter County","The Villages",16,265900,0.00377500943752359,0.0110266159695817,0.0791396103896104,0.0336009150283549,0.0230084904633003,"2019-01","2019-Q1",265900,0,"2019-01"
2019-01-31,62087,"11375","NY","New York-Newark-Jersey City","Queens County","New York",17,994600,0.00241886716387825,0.0238830553839819,0.0323853020552211,0.0746271209274449,0.0474210305800666,"2019-01","2019-Q1",994600,0,"2019-01"
2019-01-31,62045,"11235","NY","New York-Newark-Jersey City","Kings County","New York",18,712100,-0.00224183830741208,0.000140449438202247,-0.00503004051977085,0.0542858613167869,0.0365756115370233,"2018-06","2018-Q2",725900,-0.0190108830417413,"2018-01"
2019-01-31,84646,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",19,393800,0.00101677681748856,0.0110397946084724,0.0308900523560209,0.0670325035179775,0.0278539572516259,"2019-01","2019-Q1",393800,0,"2019-01"
2019-01-31,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",20,654000,0.0039914031317163,0.0163170163170163,0.0916374561842764,0.0934979589482046,0.0516351495201668,"2019-01","2019-Q1",654000,0,"2019-01"
2019-01-31,74242,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",21,263000,0.00343380389164441,0.0154440154440154,0.080082135523614,0.126775608903451,0.0612771986847249,"2019-01","2019-Q1",263000,0,"2019-01"
2019-01-31,61643,"10029","NY","New York-Newark-Jersey City","New York County","New York",22,777100,-0.00740835355728701,-0.0189370029036738,-0.0158308004052685,0.0435596662015176,0.0357546662826729,"2018-05","2018-Q2",795400,-0.0230072919285894,"2017-08"
2019-01-31,61623,"10009","NY","New York-Newark-Jersey City","New York County","New York",23,1123500,-0.0148193616274991,-0.0168883444172209,0.0174787176236189,0.0322984003114108,0.0283621462851142,"2017-06","2017-Q2",1221900,-0.080530321630248,"2016-10"
2019-01-31,84620,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",24,393000,0.00152905198776758,-0.00127064803049555,0.0118434603501545,0.0524903427451637,0.0228257420565623,"2018-04","2018-Q2",395200,-0.0055668016194332,"2018-04"
2019-01-31,61625,"10011","NY","New York-Newark-Jersey City","New York County","New York",25,1638800,-0.00714891554586211,-0.0157948471563269,-0.0616124599175447,0.0136884070546328,0.0286016931996182,"2016-08","2016-Q3",1819300,-0.0992139834002089,"2014-06"
2019-01-31,92036,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",26,268700,0.00223797090637822,0.00486163051608078,0.0628955696202532,0.0669866194002693,0.0361405652201419,"2019-01","2019-Q1",268700,0,"2019-01"
2019-01-31,92045,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",27,267400,0.00450788880540947,0.0144157814871017,0.0602696272799366,0.0648583284221345,0.0326091458789062,"2019-01","2019-Q1",267400,0,"2019-01"
