"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,3561,0.0127986348122867,0.0327726218097448,0.0107862617087709,22431
2019-01-31,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,1898,0.0122666666666667,0.0486187845303867,0.0242849433351322,32223
2019-01-31,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,3958,0.0261861550427794,0.0831964969896004,0.0388451443569554,29114
2019-01-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,2122,-0.00933706816059757,-0.0274977085242896,-0.030164533820841,31576
2019-01-31,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,2051,0.0093503937007874,0.0458949515553289,-0.00436893203883495,33150
2019-01-31,"79936","TX","El Paso","El Paso County","El Paso",5,1011,0.00597014925373134,0.0181268882175227,0.0140421263791374,31486
2019-01-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",6,1474,0.00545702592087312,0.0179558011049724,0.0221914008321775,31979
2019-01-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,1469,0.00478796169630643,0.0152038700760194,0.0194309507286607,26718
2019-01-31,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,3819,0.0132661183337755,0.0394665215024496,0.0282714054927302,9172
2019-01-31,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,1865,0.0119370591427021,0.0361111111111111,0.0378408458542014,7339
2019-01-31,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",10,1622,0.00309214594928881,0.01375,0.020125786163522,22477
2019-01-31,"11226","NY","New York-Newark-Jersey City","Kings County","New York",11,2233,0.00585585585585586,0.0159235668789809,-0.0282854656222802,10575
2019-01-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",12,4462,0.00405040504050405,0.0161694374857663,0.0147828064589493,9561
2019-01-31,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,3783,0.00906908508935716,0.0285481239804241,0.0274307441607822,26908
2019-01-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",14,1498,0.00267737617135207,0.0114787305874409,0.0338164251207729,22726
2019-01-31,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",15,1643,0.0024405125076266,0.0104551045510455,0.0098340503995083,23295
2019-01-31,"11375","NY","New York-Newark-Jersey City","Queens County","New York",16,2205,0.00730927364093193,0.0251046025104603,0.0445286594031265,22413
2019-01-31,"11235","NY","New York-Newark-Jersey City","Kings County","New York",17,2196,0.000455580865603645,-0.000455166135639508,-0.0406290956749672,16914
2019-01-31,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",18,1821,0.0066334991708126,0.032312925170068,0.0218855218855219,20165
2019-01-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",19,2769,0.00800873680378595,0.0251758607922991,0.0328235732935472,14870
2019-01-31,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",20,1550,0.00129198966408269,0.00649350649350649,0.00714749837556855,20517
2019-01-31,"10029","NY","New York-Newark-Jersey City","New York County","New York",21,2905,0.00588642659279778,0.0225272791270679,-0.0323117921385743,5782
2019-01-31,"10009","NY","New York-Newark-Jersey City","New York County","New York",22,3873,0.0173364854215918,0.0510176390773406,0.0208223510806537,9251
2019-01-31,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",23,1850,0.0109289617486339,0.0434292160180485,0.0148107515085025,20788
2019-01-31,"10011","NY","New York-Newark-Jersey City","New York County","New York",24,4358,0.0256530948458461,0.0787128712871287,0.0165616981572195,21512
2019-01-31,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",25,1960,0.00204498977505112,0.00719424460431655,-0.0140845070422535,26004
2019-01-31,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",26,1881,0.00427122263747998,0.0140161725067385,-0.00370762711864407,22764
2019-01-31,"10128","NY","New York-Newark-Jersey City","New York County","New York",27,3349,0.00782425519109239,0.0288786482334869,0.00149521531100478,22879
2019-01-31,"11201","NY","New York-Newark-Jersey City","Kings County","New York",28,3025,0.0181756984180411,0.0554780181437544,0.0278627251104315,20358
2019-01-31,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",29,2651,0.0126050420168067,0.0457593688362919,0.00530906332954114,18635
2019-01-31,"78130","TX","San Antonio-New Braunfels","Comal County","New Braunfels",30,1482,0.00679347826086957,0.0227743271221532,0.0171585449553878,21793
2019-01-31,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",31,1398,0.00720461095100865,0.0256786500366838,0.0363232023721275,26177
2019-01-31,"78613","TX","Austin-Round Rock","Williamson County","Cedar Park",32,1727,0.00174013921113689,0.00817279626386457,0.0146886016451234,23738
2019-01-31,"78572","TX","McAllen-Edinburg-Mission","Hidalgo County","Mission",33,1079,0,0.0160075329566855,0.0365033621517771,20099
2019-01-31,"94565","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pittsburg",34,2308,0.0149516270888303,0.0429281518300949,0.031277926720286,22279
2019-01-31,"79912","TX","El Paso","El Paso County","El Paso",35,1263,0.0144578313253012,0.0481327800829876,0.0318627450980392,20964
2019-01-31,"30349","GA","Atlanta-Sandy Springs-Roswell","Clayton County","Riverdale",36,1190,0.00932994062765055,0.0329861111111111,0.0429447852760736,23999
2019-01-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",37,3943,0.00535441101478837,0.0180738445649367,0.0244219277734476,11061
2019-01-31,"20009","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",38,2579,0.00506625097427903,0.0157542339503742,-0.0441067457375834,15939
2019-01-31,"75052","TX","Dallas-Fort Worth-Arlington","Dallas County","Grand Prairie",39,1615,0.00560398505603985,0.0144472361809045,0.0195707070707071,25195
2019-01-31,"37042","TN","Clarksville","Montgomery County","Clarksville",40,955,0.00420609884332282,0.0127253446447508,0.0116525423728814,26334
2019-01-31,"77433","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",41,1784,-0.00167879127028539,-0.00501952035694367,0.0217640320733104,24955
2019-01-31,"73099","OK","Oklahoma City","Canadian County","Yukon",42,1258,0.00479233226837061,0.0136986301369863,0.0186234817813765,25756
2019-01-31,"10462","NY","New York-Newark-Jersey City","Bronx County","New York",43,1771,0.0314502038439138,0.106875,0.0535395597858418,18630
2019-01-31,"10456","NY","New York-Newark-Jersey City","Bronx County","New York",44,2052,0.0224215246636771,0.06875,0.0828496042216359,3302
2019-01-31,"11206","NY","New York-Newark-Jersey City","Kings County","New York",45,2572,0.00744222483352918,0.035010060362173,-0.0141816788041395,8597
2019-01-31,"77429","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",46,1784,0.00393922341024198,0.0165242165242165,0.0211791642816256,25894
2019-01-31,"10003","NY","New York-Newark-Jersey City","New York County","New York",47,4190,0.0224499755978526,0.0672440142638818,0.0182260024301337,20669
2019-01-31,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Sugar Land",48,2314,0.0021654395842356,0.0100392841553907,0.0100392841553907,26606
2019-01-31,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",49,1422,0.00851063829787234,0.021551724137931,0.0525536639526277,23914
2019-01-31,"63376","MO","St. Louis","Saint Charles County","Saint Peters",50,1488,0,0.00472653612424038,0.0354906054279749,27607
2019-01-31,"60613","IL","Chicago-Naperville-Elgin","Cook County","Chicago",51,1678,0.00539245056920312,0.0206812652068127,0.0200607902735562,25424
2019-01-31,"77036","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",52,1342,0.00978179082016554,0.0331023864511162,0.0386996904024768,10564
2019-01-31,"10463","NY","New York-Newark-Jersey City","Bronx County","New York",53,1956,0.00876740587931924,0.028391167192429,-0.00861632032437912,7488
2019-01-31,"30043","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",54,1547,0.00847457627118644,0.0299600532623169,0.0361687876758205,24460
2019-01-31,"11212","NY","New York-Newark-Jersey City","Kings County","New York",55,2234,0.00812274368231047,0.0233623453962437,0.0113173381620643,5959
2019-01-31,"11230","NY","New York-Newark-Jersey City","Kings County","New York",56,2207,0.00592525068368277,0.0189289012003693,-0.0324419114423498,11784
2019-01-31,"60625","IL","Chicago-Naperville-Elgin","Cook County","Chicago",57,1662,0.00727272727272727,0.0303781773093614,0.0240295748613678,16819
2019-01-31,"11209","NY","New York-Newark-Jersey City","Kings County","New York",58,2278,0.0106477373558119,0.0345140781108084,-0.0227370227370227,15498
2019-01-31,"60629","IL","Chicago-Naperville-Elgin","Cook County","Chicago",59,1493,0.0115176151761518,0.0353675450762829,0.0382475660639777,20840
2019-01-31,"28277","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",60,1829,-0.00326975476839237,-0.00435492651061513,-0.000546448087431694,23885
2019-01-31,"07030","NJ","New York-Newark-Jersey City","Hudson County","Hoboken",61,2697,-0.00295748613678373,-0.00991189427312775,-0.0210526315789474,22302
2019-01-31,"78245","TX","San Antonio-New Braunfels","Bexar County","San Antonio",62,1303,0.00307929176289453,0.0124320124320124,0.00929512006196747,20552
2019-01-31,"75287","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",63,1989,0.00201511335012594,0.00810947795235682,-0.0109398309298856,6766
2019-01-31,"78704","TX","Austin-Round Rock","Travis County","Austin",64,2124,0.0152963671128107,0.0442477876106195,0.000471031559114461,14057
2019-01-31,"85032","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",65,1451,0.0146853146853147,0.0484104046242775,0.0591240875912409,21569
2019-01-31,"10024","NY","New York-Newark-Jersey City","New York County","New York",66,4148,0.0269868779400842,0.0813347236704901,0.050126582278481,19284
2019-01-31,"60610","IL","Chicago-Naperville-Elgin","Cook County","Chicago",67,1909,0.0181333333333333,0.0658849804578448,0.0352494577006508,28342
2019-01-31,"11221","NY","New York-Newark-Jersey City","Kings County","New York",68,2451,0.0119735755573906,0.0474358974358974,-0.00889607763849575,13736
2019-01-31,"33160","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Sunny Isles Beach",69,2180,0.00322135296824666,0.00785945446139621,-0.00728597449908925,47681
2019-01-31,"23464","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",70,1579,0.00509229789942712,0.0206851971557854,0.0200258397932817,24717
2019-01-31,"77077","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",71,2028,-0.00294985250737463,-0.00588235294117647,-0.00392927308447937,12495
2019-01-31,"21234","MD","Baltimore-Columbia-Towson","Baltimore County","Parkville",72,1645,0.00121728545343883,0.00304878048780488,0.0098219766728054,21952
2019-01-31,"75243","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",73,1534,0.00921052631578947,0.0288397048960429,0.0247160988643955,11294
2019-01-31,"98052","WA","Seattle-Tacoma-Bellevue","King County","Redmond",74,2594,-0.000385356454720617,0.00231839258114374,-0.0118095238095238,19679
2019-01-31,"11214","NY","New York-Newark-Jersey City","Kings County","New York",75,2170,0.0102420856610801,0.0313688212927757,-0.0068649885583524,12009
2019-01-31,"78521","TX","Brownsville-Harlingen","Cameron County","Brownsville",76,854,0,0.00352526439482961,0.00117233294255569,21381
2019-01-31,"94501","CA","San Francisco-Oakland-Hayward","Alameda County","Alameda",77,3321,0.0042334442092531,0.01435552840562,-0.00300210147102972,15142
2019-01-31,"77379","TX","Houston-The Woodlands-Sugar Land","Harris County","Spring",78,1858,0.00161725067385445,0.00704607046070461,0.0130861504907306,25036
2019-01-31,"08701","NJ","New York-Newark-Jersey City","Ocean County","Lakewood",79,1886,0.00801710315339391,0.0227765726681128,-0.00264410364886304,21467
2019-01-31,"10019","NY","New York-Newark-Jersey City","New York County","New York",80,3908,0.0208986415882968,0.0639803974952355,0.0273396424815983,20659
2019-01-31,"11207","NY","New York-Newark-Jersey City","Kings County","New York",81,2259,0.00893255917820455,0.0277525022747953,0.0148247978436658,12430
2019-01-31,"78666","TX","Austin-Round Rock","Hays County","San Marcos",82,1437,0.00139372822299652,0.00983836964160225,0.0345572354211663,11752
2019-01-31,"30024","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Suwanee",83,1900,0.00529100529100529,0.0144153764014949,0.00422832980972516,22770
