"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-01-31,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,3733,0.0174434450804034,0.0480067377877597,0.0221796276013144,11590
2019-01-31,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,2000,0.0050251256281407,0.0240655401945725,-0.025815879201169,19955
2019-01-31,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,4050,0.0255760952139782,0.077700904736562,0.0237613751263903,16863
2019-01-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,2205,-0.00720396217919856,-0.02,-0.0178173719376392,26710
2019-01-31,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,2181,-0.00547195622435021,-0.00998638220608261,-0.0396301188903567,22779
2019-01-31,"79936","TX","El Paso","El Paso County","El Paso",5,1029,0.0108055009823183,0.0320962888665998,0.0178041543026706,29177
2019-01-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",6,1468,0.00479123887748118,0.0152143845089903,0.0194444444444444,29511
2019-01-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,1469,0.00478796169630643,0.0159059474412171,0.0201388888888889,25525
2019-01-31,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,3800,0.00849256900212314,0.0174029451137885,0.0312075983717775,3802
2019-01-31,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,1850,0.0109289617486339,0.0317902955939766,0.034097261039687,1043
2019-01-31,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",10,1642,0,0.00612745098039216,-0.00182370820668693,15051
2019-01-31,"11226","NY","New York-Newark-Jersey City","Kings County","New York",11,2364,0.0106883283454468,0.0332167832167832,-0.0211180124223602,2383
2019-01-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",12,4480,0.003584229390681,0.013116236996834,0.0140334993209597,6444
2019-01-31,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,3857,0.00652400835073069,0.0160695468914647,0.0268903088391906,12425
2019-01-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",14,1501,0.00200267022696929,0.0100942126514132,0.0351724137931035,20170
